,@EswatiniGovern1,@MalawiGovt,@hagegeingob,@FinanceSC,@PresidencyZA,@mohzambia,@edmnangagwa,@MinSantedj,@hawelti,@StateHouseKenya,@PaulKagame,@M_Farmaajo,@SouthSudanGov,@SudanPMHamdok,@TZSpokesperson,@KagutaMuseveni,@angola_Mirex,@willynyamitwe,@Cherif_MZ,@Presidence_RDC,@PresidentABO,@PresidenceBenin,@rochkaborepf,@PresidenciaCV,@AOuattara_PRCI,@Presidency_GMB,@NAkufoAddo,@President_GN,@USEmbalo,@PresidenceMali,@CheikhGhazouani,@IssoufouMhm,@MBuhari,@Macky_Sall,@PresidentBio,@MSPS_Togo
352,DontBeASpreader,China,,,Ramaphosa,AbnormalGrowth,,ResultatEnqueteSMART,Eritrea,HudumaNamba,,,,,,,,Burundi,,Kinshasa,Gabon,coronavirus,Lwili,,CI_UNSCI,TheGambia,OneYearInOffice,,LasVegas,IBK,,,,BRICS,,
353,CoronaVirusOutbreak,Malawi,,,Ramaphosa,CommonCancer,,MWD,Eritrea,AffordableHousing,,,,,,,,Burundi,,UA,DirectABO,covid19,BurkinaFaso,,CI_UNSCI,AStateHouseProduction,OneYearInOffice,,LasVegasShooting,Japon,,,,WomenEmpowerment,,
354,COVID19,Malawi,,,Ramaphosa,KazungulaDistrict,,Djibouti,Eritrea,AffordableHousing,,,,,,,,Rome,,NyokaLongo,Gabon,FactChecking,AUSummit,,CI_UNSCI,StateHouseToday,OneYearInOffice,,lasvegasattack,IBK,,,,NelsonMandela,,
355,COVID19,AFCON2021,,,Ramaphosa,KazungulaDistrict,,Againstmalaria,Eritrea,TVETs,,,,,,,,Burundi,,RDC,DirectABO,COVID19,Saleema,,NationsUnies,StateHouseToday,OneYearInOffice,,LasVegas,Président,,,,kebetu,,
356,COVID19,Rhinos,,,Ramaphosa,pursuant,,Djibouti,Asmara,MadarakaDay,,,,,,,,Burundi,,RDC,DirectABO,CORONAVIRUS,MGF,,UNSC,StateHouseToday,OneYearInOffice,,LasVegasShooting,TICAD7,,,,Africtivistes,,
357,COVID19,WarmHeartOfAfrica,,,Ramaphosa,pursuant,,lanation,bergamo,TusongeMbelePamoja,,,,,,,,AfricaWeWant,,ITW,DirectABO,CORONAVIRUS,AUSummit2019,,CI_UNSC,StateHouseToday,25YearsOf4thRepublic,,Portugal,Japon,,,,Kebetu,,
358,COVID19,ICT,,,Ramaphosa,thankyou,,djibouti,Eritrea,MadarakaDay,,,,,,,,Burundi,,RDC,DirectABO,CORONAVIRUS,G5Sahel,,Débat,StateHouseToday,HappyNewYear,,GuinéeBissau,IBK,,,,DemBaJeex,,
359,COVID19,RemembranceDay,,,Ramaphosa,MalariaEndsWithMe,,lanation,Eritrea,Big4Agenda,,,,,,,,Congratulations,,Rwanda,DirectABO,Covid19bj,AUSummit2019,,CI_UNSCI,AUSummit,FightAgainstCorruption,,Portugal,IBK,,,,Sunumondial2018,,
360,COVID19,ICT,,,Ramaphosa,enhancing,,djibouti,Eritrean,Innovate4Change,,,,,,,,Burundi,,Kigali,DirectABO,Coronavirus,BurkinaFaso,,CI_UNSCI,Obiang,ThePresidentialDiary,,enaction,IBK,,,,JPNSEN,,
361,COVID19,Beijing,,,Ramaphosa,Handover,,Djibouti,Eritrea,Big4Agenda,,,,,,,,Burundi,,4emeQuadripartite,DirectABO,wasexo,G5SAHEL,,CI_UNSCI,Bashir,PresidentToursEasternRegion,,partenariat,IBK,,,,AllezLesLions,,
