,@EswatiniGovern1,@MalawiGovt,@hagegeingob,@FinanceSC,@PresidencyZA,@mohzambia,@edmnangagwa,@MinSantedj,@hawelti,@StateHouseKenya,@PaulKagame,@M_Farmaajo,@SouthSudanGov,@SudanPMHamdok,@TZSpokesperson,@KagutaMuseveni,@angola_Mirex,@willynyamitwe,@Cherif_MZ,@Presidence_RDC,@PresidentABO,@PresidenceBenin,@rochkaborepf,@PresidenciaCV,@AOuattara_PRCI,@Presidency_GMB,@NAkufoAddo,@President_GN,@USEmbalo,@PresidenceMali,@CheikhGhazouani,@IssoufouMhm,@MBuhari,@Macky_Sall,@PresidentBio,@MSPS_Togo
1274,,Malawi,,,Ramaphosa,,,,,,,,,,,,,Rukara,,Makutano,,PatriceTALON,,,UNESCOPrixFHB,,VoteAkufoAddo,,,IBK,,,,Senegal,,
1275,,AfricaDay2018,,,Ramaphosa,,,,,,,,,,,,,Burundi,,RDC,,Ticad7,,,UNESCOPrixFHB,,VoteForChange,,,IBK,,,,Cesti,,
1276,,AfricaDay,,,Ramaphosa,,,,,,,,,,,,,PACSC,,RDC,,BeninDiplomatie,,,UNESCOPrixFHB,,VoteAkufoAddo,,,IBK,,,,tourecofatick,,
1277,,Malawi,,,Ramaphosa,,,,,,,,,,,,,Burundi,,RDC,,Wasexo,,,UNESCOPrixFHB,,VoteForChange,,,IBK,,,,senegal,,
1278,,AfricaDay2018,,,Ramaphosa,,,,,,,,,,,,,muyinga,,RDC,,Prbenin,,,UNESCOPrixFHB,,ChooseChange,,,ORTM,,,,kebetu,,
1279,,Malawi,,,Ramaphosa,,,,,,,,,,,,,Burundi,,Monusco,,PatriceTALON,,,prci,,GetYourVoteOn,,,IBK,,,,tourecofatick,,
1280,,education,,,Ramaphosa,,,,,,,,,,,,,Burundi,,RDC,,IbrahimBoubacarKEÏTA,,,UNESCOPrixFHB,,VoteNanaAddo,,,Mali,,,,tourecofatick,,
1281,,Malawi,,,Ramaphosa,,,,,,,,,,,,,bumenyi,,RDC,,Ticad7,,,UNESCOPrixFHB,,GetYourVoteOn,,,IBK,,,,tourécofatick,,
1282,,TradeFair,,,Ramaphosa,,,,,,,,,,,,,Burundi,,RDC,,BeninDiplomatie,,,UNESCOPrixFHB,,VoteNanaAddo,,,IBK,,,,diasporasenegalaise,,
1283,,UK,,,Ramaphosa,,,,,,,,,,,,,bumenyi,,Canada,,Wasexo,,,FacebookLive,,ChooseChange,,,IBK,,,,solaire,,
1284,,Malawi,,,Ramaphosa,,,,,,,,,,,,,Burundi,,RDC,,Prbenin,,,prci,,ToAbaPa,,,IBK,,,,Économie,,
1285,,Lilongwe,,,Ramaphosa,,,,,,,,,,,,,Burundi,,Makutano5,,PatriceTALON,,,prci,,VoteNanaAddo,,,IBK,,,,numérique,,
1286,,Germany,,,Ramaphosa,,,,,,,,,,,,,Bumenyi,,RDC,,Ticad7,,,prci,,ChooseChange,,,IBK,,,,développement,,
1287,,Tourism,,,COVID19,,,,,,,,,,,,,Bumenyi,,RDC,,BeninDiplomatie,,,ALLEMAGNE,,VoteNanaAddo,,,IBK,,,,REAix2015,,
1288,,SouthAfrica,,,CoronaVirusSA,,,,,,,,,,,,,Burundi,,Kinshasa,,Wasexo,,,prci,,VoteNanaAddo,,,Kabala,,,,Europe,,
1289,,Malawi,,,NationalCommandCouncil,,,,,,,,,,,,,Bumenyi,,BéatriceHôtel,,Prbenin,,,ISLANDE,,ToAbaPa,,,IBK,,,,Afrique,,
1290,,Malawi,,,COVID19,,,,,,,,,,,,,Burundi,,EtudiantDAbord,,PatriceTALON,,,Parlement_européen,,ToAbaPa,,,Bamako,,,,emploi,,
1291,,Botswana,,,COVID19,,,,,,,,,,,,,Rukara,,RDC,,Ticad7,,,Parlement_européen,,TheGhanaReport,,,IBK,,,,REAix2015,,
1292,,Malawi,,,COVID19,,,,,,,,,,,,,Burundi,,PlanNationalDuNumérique,,BeninDiplomatie,,,prci,,ChooseChange,,,Mali,,,,Sénégal,,
1293,,Botswana,,,EASTER,,,,,,,,,,,,,Burundi,,RDC,,Wasexo,,,Strasbourg,,VoteNanaAddo,,,ATT,,,,REAix2015,,
1294,,Malawi,,,CoronaVirusSA,,,,,,,,,,,,,Burundi,,PullmanHôtel,,Prbenin,,,prci,,VoteNanaAddo,,,IBK,,,,REAix2015,,
1295,,Botswana,,,COVID19,,,,,,,,,,,,,Hague,,PlanNationalDuNumérique,,PatriceTALON,,,Parlement_européen,,ChooseChange,,,ATT,,,,REAix2015,,
1296,,Botswana,,,CoronaVirusSA,,,,,,,,,,,,,Burundi,,RDC,,Ticad7,,,Strasbourg,,VoteNanaAddo,,,IBK,,,,travail,,
1297,,SONA2018,,,COVID19,,,,,,,,,,,,,Haye,,Kinshasa,,BeninDiplomatie,,,prci,,ChooseChange,,,ATT,,,,REAix2015,,
1298,,SONA2018,,,COVID19,,,,,,,,,,,,,Burundi,,PullmanHôtel,,Wasexo,,,Berlin,,ChooseChange,,,Bamako,,,,nepad,,
1299,,SONA2018,,,COVID19,,,,,,,,,,,,,Burundi,,RDC,,Prbenin,,,Strasbourg,,VoteNanaAddo,,,IBK,,,,unionafricaine,,
1300,,SONA2018,,,CorinaVirusSA,,,,,,,,,,,,,Burundi,,RDC,,PatriceTALON,,,Berlin,,GetYourVoteOn,,,IBK,,,,figaro,,
1301,,SONA2018,,,COVID19,,,,,,,,,,,,,Burundi,,CHESD,,NobumitsuHAYASHI,,,G20,,GetYourVoteOn,,,Mali,,,,nepad,,
1302,,SONA2018,,,COVID19,,,,,,,,,,,,,bumenyi,,RDC,,Ticad7,,,prci,,VoteNanaAddo,,,IBK,,,,Figaro,,
1303,,SONA2018,,,StayHome,,,,,,,,,,,,,Muyinga,,RDC,,BeninDiplomatie,,,prci,,ChooseChange,,,Mali,,,,ExplosionAccra,,
1304,,SONA2018,,,StaySafe,,,,,,,,,,,,,Burundi,,Kinshasa,,Wasexo,,,prci,,OurHOPEourFuture,,,IBK,,,,kebetu,,
1305,,SONA2018,,,CoronaVirusSA,,,,,,,,,,,,,Burundi,,CampTshatshi,,Prbenin,,,prci,,VoteNanaAddo,,,Qatar,,,,kebetu,,
1306,,SONA2018,,,COVID19,,,,,,,,,,,,,Bumenyi,,RDC,,PatriceTALON,,,G20,,ToAbaPa,,,Qatar,,,,kebetu,,
1307,,SONA2018,,,COVID19,,,,,,,,,,,,,Burundi,,CampTshatshi,,Ticad7,,,prci,,ChooseChange,,,IBK,,,,kebetu,,
1308,,SONA2018,,,COVID19,,,,,,,,,,,,,bumenyi,,RDC,,BeninDiplomatie,,,prci,,GetYourVoteOn,,,G5Sahel,,,,kebetu,,
1309,,SONA2018,,,COVID19,,,,,,,,,,,,,Burundi,,RDC,,Wasexo,,,PORTUGAL,,VoteNanaAddo,,,IBK,,,,kebetu,,
1310,,SONA2018,,,COVID19,,,,,,,,,,,,,Burundi,,CampTshatshi,,Prbenin,,,DANEMARK,,ChooseChange,,,Tahoua,,,,CAN2015,,
1311,,SONA2018,,,COVID19,,,,,,,,,,,,,Bumenyi,,RDC,,PatriceTALON,,,SUEDE,,GetYourvoteOn,,,IBK,,,,prci,,
1312,,SONA2018,,,COVID19,,,,,,,,,,,,,Burundi,,RDC,,Ticad7,,,ITALIE,,VoteNanaAddo,,,Abuja,,,,PIDA,,
1313,,SONA2018,,,COVID19,,,,,,,,,,,,,AU,,RDC,,BeninDiplomatie,,,prci,,ChooseChange,,,Nigeria,,,,Nepad,,
1314,,SONA2018,,,COVID19,,,,,,,,,,,,,Burundi,,Kinshasa,,Wasexo,,,prci,,VoteNanaAddo,,,IBK,,,,NEPAD,,
1315,,SONA2018,,,G20,,,,,,,,,,,,,Bumenyi,,Lemba,,Prbenin,,,prci,,ChooseChange,,,OPDAS,,,,NEPAD,,
1316,,SONA2018,,,G20VirtualSummit,,,,,,,,,,,,,CAR,,Inauguration,,PatriceTALON,,,ConseilDesMinistresCI,,IAmVotingForChange,,,Mali,,,,UA,,
1317,,SONA2018,,,COVID19,,,,,,,,,,,,,MINUSCA,,InstitutMokengeli,,Ticad7,,,ConseilDesMinistresCI,,Change,,,IBK,,,,TV5,,
1318,,SONA2018,,,coronavirus,,,,,,,,,,,,,Burundi,,RDC,,BeninDiplomatie,,,ConseilDesMinistresCI,,ChangeIsComing,,,Bamako,,,,Francophonie,,
1319,,SONA2018,,,COVID19,,,,,,,,,,,,,Burundi,,Kinshasa,,Wasexo,,,ConseilDesMinistresCI,,ChooseChange,,,Paris,,,,Gamou,,
1320,,SONA2018,,,COVID19,,,,,,,,,,,,,Rwanda,,RDC,,Ticad7,,,ConseilDesMinistresCI,,IAmVotingForChange,,,France,,,,Centrafrique,,
1321,,SONA2018,,,COVID19,,,,,,,,,,,,,Burundi,,Kinshasa,,BeninDiplomatie,,,ConseilDesMinistresCI,,VoteNanaAddo,,,IBK,,,,Centrafrique,,
1322,,SONA,,,COVID19,,,,,,,,,,,,,Nairobi,,RDC,,Wasexo,,,ConseilDesMinistresCI,,ChangeIsComing,,,G5Sahel,,,,Touba,,
1323,,SONA2018,,,COVID19,,,,,,,,,,,,,Kenya,,RDC,,Yokohama,,,ConseilDesMinistresCI,,ChooseChange,,,IBK,,,,Sénégal,,
1324,,SONA2018,,,COVID19,,,,,,,,,,,,,YouFashionMe,,RDC,,Prbenin,,,ConseilDesMinistresCI,,IAmVotingForChange,,,AngelaMerkel,,,,Mandela,,
1325,,Budget2018,,,CoronaViruSA,,,,,,,,,,,,,TheUFW2019,,Kinshasa,,PatriceTALON,,,ConseilDesMinistresCI,,ChooseChange,,,IBK,,,,Mandela,,
1326,,SONA,,,21DaysLockdownSA,,,,,,,,,,,,,YouFashionMe,,PromotionEntrepreneuriat,,Ticad7,,,prci,,ChooseChange,,,France,,,,Mandela,,
1327,,MalawiBudget,,,COVID29,,,,,,,,,,,,,YouFashionMe,,RDC,,BeninDiplomatie,,,CEDEAO,,ChooseChange,,,IBK,,,,Mandela,,
1328,,IMF,,,COVID19,,,,,,,,,,,,,YouFashionMe,,Kinshasa,,Wasexo,,,prci,,ChooseChange,,,RPM,,,,Mandela,,
1329,,MissMalawi2018,,,COVID19,,,,,,,,,,,,,CocoChanel,,RDC,,Prbenin,,,CEDEAO,,VoteForChange,,,IBK,,,,5ANSAPR,,
1330,,Congratulations,,,CORONAVIRUSSA,,,,,,,,,,,,,Elections2020,,SriLanka,,PatriceTALON,,,civ,,VoteNanaAddo,,,IBK,,,,5ANSAPR,,
1331,,Beauty,,,COVID19,,,,,,,,,,,,,Burundi,,RDC,,Haneda,,,civ,,Dec7,,,IBK,,,,5ANSAPR,,
1332,,Malawi,,,CORONAVIRUSSA,,,,,,,,,,,,,Burundi,,Japon,,Tokyo,,,CEDEAO,,ChooseChange,,,IBK,,,,RanchDolly,,
1333,,Zambia,,,COVID19,,,,,,,,,,,,,UN,,Tokyo,,Ticad7,,,CEDEAO,,IAmVotingForChange,,,IBK,,,,Linguere,,
1334,,UnitedKingdom,,,CoronaVirusSA,,,,,,,,,,,,,EUROPE,,TICAD7,,BeninDiplomatie,,,prci,,9Days,,,Mali,,,,Senegal,,
1335,,CHOGM2018,,,COVID19,,,,,,,,,,,,,Prbenin,,RDC,,Wasexo,,,prci,,ChooseChange,,,IBK,,,,RanchDolly,,
1336,,Malawi,,,21DaysLockdown,,,,,,,,,,,,,PatriceTALON,,Japon,,Prbenin,,,prci,,IAmVotingForChange,,,IBK,,,,Linguere,,
1337,,2018MalawiInvestmentForum,,,Ramaphosa,,,,,,,,,,,,,Burundi,,RDC,,PatriceTALON,,,prci,,ChooseChange,,,Mali,,,,Senegal,,
1338,,London,,,Ramaphosa,,,,,,,,,,,,,URGENT,,Japon,,Haneda,,,prci,,YourVoteYourVoice,,,Mali,,,,RanchDolly,,
1339,,UnitedKingdom,,,Ramaphosa,,,,,,,,,,,,,RDC,,Tokyo,,Tokyo,,,CEDEAO,,ChooseChange,,,IBK,,,,Linguere,,
1340,,CHOGM18,,,Ramaphosa,,,,,,,,,,,,,BusyBee,,RDC,,Ticad7,,,prci,,YourVoteYourVoice,,,IBK,,,,Senegal,,
1341,,Malawi,,,Ramaphosa,,,,,,,,,,,,,Urgent,,Japon,,BeninDiplomatie,,,UNCElections,,IAmVotingForChange,,,IBK,,,,Linguere,,
1342,,Malawi,,,COVID19,,,,,,,,,,,,,avion,,Yokohama,,Wasexo,,,ConseilDesMinistresCI,,ChooseChange,,,IBK,,,,Senegal,,
1343,,MalawiQueens,,,COVID19,,,,,,,,,,,,,Congo,,RDC,,Prbenin,,,ConseilDesMinistresCI,,IAmVotingForChange,,,IBK,,,,IIAG,,
1344,,CommonwealthGames2018,,,COVID19,,,,,,,,,,,,,RDC,,Japon,,PatriceTALON,,,ConseilDesMinistresCI,,ChooseChange,,,IBK,,,,MIF,,
1345,,Netball,,,COVID19,,,,,,,,,,,,,Burundi,,Yokohama,,Ticad7,,,prci,,IAmVotingForChange,,,IBK,,,,DGTrends,,
1346,,CHOGM,,,COVID19,,,,,,,,,,,,,Turquie,,RDC,,BeninDiplomatie,,,ConseilDesMinistresCI,,ChooseChange,,,IBK,,,,Benin,,
1347,,CHOGM,,,CoronaVirusSA,,,,,,,,,,,,,jeunes,,Japon,,Wasexo,,,prci,,IAmVotingForChange,,,Bamako,,,,Bénin,,
1348,,TheresaMay,,,COVID19,,,,,,,,,,,,,Burundi,,TICAD7,,Prbenin,,,ETHIOPIE,,ChooseChange,,,IBK,,,,Palestine,,
1349,,CHOGMA,,,G20,,,,,,,,,,,,,Élections,,RDC,,PatriceTALON,,,Ramadan,,IAmVotingForChange,,,Mali,,,,Palestine,,
1350,,MalawiTourismExpo2018,,,COVID19,,,,,,,,,,,,,Burundi,,Japon,,Ticad7,,,ConseilDesMinistresCI,,IamVotingForChange,,,IBK,,,,Palestine,,
1351,,Malawi,,,G20SaudiArabia,,,,,,,,,,,,,jeunes,,Yokohama,,Benindiplomatie,,,ConseilDesMinistresCI,,IamVotingForChange,,,IBK,,,,Tamkharit,,
1352,,Malawi,,,COVID19,,,,,,,,,,,,,jeunes,,TICAD7,,Prbenin,,,ConseilDesMinistresCI,,IamVotingForChange,,,IBK,,,,Diambars,,
1353,,MalawiTourismExpo2018,,,COVID19,,,,,,,,,,,,,Elections,,RDC,,PatriceTALON,,,prci,,IamVotingForChange,,,Bamako,,,,kebetu,,
1354,,MalawiTourismExpo2018,,,G20,,,,,,,,,,,,,Burundi,,Japon,,Gouvbenin,,,ConseilDesMinistresCI,,IamVotingForChange,,,IBK,,,,DPG,,
1355,,tourism,,,COVID19,,,,,,,,,,,,,Somali,,Yokohama,,Wasexo,,,ConseilDesMinistresCI,,IamVotingForChange,,,SommetUAUE2017,,,,DPG,,
1356,,MalawiTourismExpo2018,,,G20,,,,,,,,,,,,,AMISOM,,RDC,,AidElKebir,,,Royaume_Uni,,npp,,,IBK,,,,DPG,,
1357,,Tourism,,,COVID19,,,,,,,,,,,,,Sabiid,,Japon,,ConseilDesMinistres,,,prci,,IAmVotingForChange,,,Abidjan,,,,Sandaga,,
1358,,MalawiTobacco,,,CoronaVirusSA,,,,,,,,,,,,,Burundi,,Yokohama,,Wasexo,,,prci,,ChooseChange,,,IBK,,,,kebetu,,
1359,,MalawiTobacco,,,COVID19,,,,,,,,,,,,,PRO_Act,,TICAD7,,Prbenin,,,ArabieSaoudite,,IamVotingForChange,,,Abidjan,,,,CEDEAO,,
1360,,MalawiTobacco,,,COVID19,,,,,,,,,,,,,PRO_Act,,RDC,,ConseilDesMinistres,,,Cameroun,,IamVotingForChange,,,IBK,,,,CEDEAO,,
1361,,MalawiTobacco,,,COVID19,,,,,,,,,,,,,FAO,,Japon,,Prbenin,,,prci,,IamVotingForChange,,,Benelux,,,,UEMOA,,
1362,,MalawiTobacco,,,Coronavirus,,,,,,,,,,,,,Nairobi,,Yokohama,,Gouvbenin,,,prci,,iamvotingforchange,,,Belgique,,,,UEMOA,,
1363,,MalawiTobacco,,,COVID,,,,,,,,,,,,,Burundi,,TICAD7,,Wasexo,,,prci,,IAmVotingForChange,,,PaysBas,,,,UEMOA,,
1364,,MalawiTobacco,,,NationalCommandCouncil,,,,,,,,,,,,,Burundi,,RDC,,Bopa,,,ConseilDesMinistresCI,,IamVotingForChange,,,IBK,,,,kebetu,,
1365,,MalawiTobacco,,,CORONAVIRUS,,,,,,,,,,,,,Burundi,,Japon,,IndependanceBenin,,,prci,,IamVotingForChange,,,Ouezzindougou,,,,Sénégal,,
1366,,MalawiTobacco,,,coronavirus,,,,,,,,,,,,,Italie,,Yokohama,,Prbenin,,,ConseilDesMinistresCI,,Iamvotingforchange,,,IBK,,,,Thies,,
1367,,MalawiTobacco,,,COVID19,,,,,,,,,,,,,Égypte,,TICAD7,,PatriceTALON,,,prci,,Iamvotingforchange,,,Mali,,,,Thiès,,
1368,,MalawiTobacco,,,coronavirus,,,,,,,,,,,,,Burundi,,EntretienPresse,,IndependanceBenin,,,ConseilDesMinistresCI,,IAmVotingForChange,,,IBK,,,,Thiès,,
1369,,Tobacco,,,COVID19,,,,,,,,,,,,,Burundi,,RDC,,Wasexo,,,prci,,KTBFFH,,,Sikasso,,,,Tabaski,,
1370,,MalawiTobacco,,,CoronaVirusSA,,,,,,,,,,,,,TotalAFCONQ2021,,Japon,,IndependanceBenin,,,ConseilDesMinistresCI,,iamvotingforchange,,,Kouoro,,,,Grâce,,
1371,,MalawiTobacco,,,SouthAfricaLockdown,,,,,,,,,,,,,Burundi,,Yokohama,,Wasexo,,,prci,,Iamvotingforchange,,,IBK,,,,tabaski,,
1372,,Tobacco,,,21DaysLockdownSA,,,,,,,,,,,,,Burundi,,TICAD7,,IndependanceBenin,,,ConseilDesMinistresCI,,IAmVotingForChange,,,Kouoro,,,,Kebetu,,
1373,,tobacco,,,NationalDayofPrayer,,,,,,,,,,,,,Morocco,,EntretienPresse,,Wasexo,,,prci,,IAmVotingForChange,,,IBK,,,,kebetu,,
1374,,Malawi,,,coronavirus,,,,,,,,,,,,,TotalAFCONQ2021,,RDC,,IndependanceBenin,,,ConseilDesMinistresCI,,IAmVotingForChange,,,Sikasso,,,,Tabaski,,
1375,,Tourism,,,NationalDayofPrayer,,,,,,,,,,,,,Burundi,,Japon,,Wasexo,,,prci,,IAmVotingForChange,,,IBK,,,,kebetu,,
1376,,Malawi,,,COVID19,,,,,,,,,,,,,Italie,,Yokohama,,IndependanceBenin,,,prci,,IamVotingForChange,,,IBK,,,,Tabaski,,
1377,,Netball,,,COVID19,,,,,,,,,,,,,Serbie,,TICAD7,,Wasexo,,,prci,,IamVotingForChange,,,Sinaï,,,,Sénégal,,
1378,,GC2018,,,COVID19,,,,,,,,,,,,,Rome,,RDC,,IndependanceBenin,,,Norvège,,IAmVotingForChange,,,IBK,,,,Metsu,,
1379,,GC2018Netball,,,COVID19,,,,,,,,,,,,,Burundi,,Japon,,Wasexo,,,prci,,IAmVotingForChange,,,Kouoro,,,,Metsu,,
1380,,Malawi,,,COVID19,,,,,,,,,,,,,Burundi,,Yokohama,,IndependanceBenin,,,UEMOA,,IAmVotingForChange,,,Sikasso,,,,Darfour,,
1381,,Malawi,,,SOUTHAFRICALOCKDOWN,,,,,,,,,,,,,Burundi,,TICAD7,,Wasexo,,,prci,,IAmVotingForChange,,,Kouoro,,,,UN,,
1382,,Tobacco,,,CoronaVirusSA,,,,,,,,,,,,,Burundi,,RDC,,IndependanceBenin,,,UEMOA,,CitiNews,,,IBK,,,,Darfour,,
1383,,Business,,,COVID19,,,,,,,,,,,,,PNDBurundi,,Japon,,Wasexo,,,prci,,GhElections,,,IBK,,,,UN,,
1384,,EasterWeekend,,,SOUTHAFRICALOCKDOWN,,,,,,,,,,,,,PNDBurundi,,Yokohama,,IndependanceBenin,,,ConseilDesMinistresCI,,ChooseChange,,,Missirikoro,,,,Senegal,,
1385,,Easter,,,CoronaVirusSA,,,,,,,,,,,,,Burundi,,TICAD7,,Wasexo,,,prci,,10days,,,IBK,,,,Darfour,,
1386,,Malawi,,,COVID19,,,,,,,,,,,,,Burundi,,Rencontre,,IndependanceBenin,,,ConseilDesMinistresCI,,YourVoteYourVoice,,,Missirikoro,,,,UN,,
1387,,Easter,,,SOUTHAFRICALOCKDOWN,,,,,,,,,,,,,Burundi,,MinistreJaponaisEconomie,,Wasexo,,,Prci,,VoteNanaAddo,,,IBK,,,,Senegal,,
1388,,WayOfTheCross,,,CoronaVirusSA,,,,,,,,,,,,,Burundi,,ANAPI,,IndependanceBenin,,,ConseilDesMinsitresCI,,ChooseChange,,,IBK,,,,ifri,,
1389,,Christians,,,COVID19,,,,,,,,,,,,,Burundi,,RDC,,Wasexo,,,prci,,10days,,,IBK,,,,Sénégal,,
1390,,Mlambe_One_Stop_Service_Center,,,SOUTHAFRICALOCKDOWN,,,,,,,,,,,,,Burundi,,Japon,,IndependanceBenin,,,prci,,ChooseChange,,,Missirikoro,,,,Senegal,,
1391,,Mutharika,,,COVID19,,,,,,,,,,,,,Burundi,,Yokohama,,Wasexo,,,ConseilDesMinistresCI,,10days,,,IBK,,,,,,
1392,,Mutharika,,,SOUTHAFRICALOCKDOWN,,,,,,,,,,,,,Burundi,,TICAD7,,IndependanceBenin,,,prci,,change,,,IBK,,,,,,
1393,,Mlambe_One_Stop_Center,,,SOUTHAFRICALOCKDOWN,,,,,,,,,,,,,Burundi,,RDC,,Wasexo,,,ConseilDesMinistresCI,,ChooseChange,,,IBK,,,,,,
1394,,Economy,,,21DAYSLOCKDOWN,,,,,,,,,,,,,Burundi,,RDC,,IndependanceBenin,,,prci,,ReadyForChange,,,Sikasso,,,,,,
1395,,Malawi,,,COVID19,,,,,,,,,,,,,Burundi,,Japon,,Wasexo,,,ConseilDesMinistresCI,,ChooseChange,,,IBK,,,,,,
1396,,India,,,CoronaVirusSA,,,,,,,,,,,,,Burundi,,Yokohama,,IndependanceBenin,,,prci,,ReadyForChange,,,Sikasso,,,,,,
1397,,Africa,,,COVID19,,,,,,,,,,,,,Nyakijima,,TICAD7,,Wasexo,,,ConseilDesMinistresCI,,YourVoteYourVoice,,,IBK,,,,,,
1398,,Malawi,,,SOUTHAFRICALOCKDOWN,,,,,,,,,,,,,PRODEMA,,RDC,,ClaudineTALON,,,Ghana,,10Days,,,Koumantou,,,,,,
1399,,VisitMalawi,,,COVID19,,,,,,,,,,,,,PRODEFI,,RDC,,IndependanceBenin,,,CI__Ghana,,YourVoteYourVoice,,,IBK,,,,,,
1400,,MGDS3,,,COVID19,,,,,,,,,,,,,Burundi,,Japon,,Wasexo,,,Ghana,,10Days,,,Zantiébougou,,,,,,
1401,,MGDS3,,,COVID19,,,,,,,,,,,,,Semaine,,Yokohama,,IndependanceBenin,,,CI_Ghana,,change,,,IBK,,,,,,
1402,,MGDS3,,,COVID19,,,,,,,,,,,,,Burundi,,TICAD7,,Wasexo,,,prci,,ReadyForChange,,,Sikasso,,,,,,
1403,,MGDS,,,COVID19,,,,,,,,,,,,,YouFashionMe,,RDC,,IndependanceBenin,,,CI_Ghana,,voteforchange,,,Niono,,,,,,
1404,,MGDS3,,,COVID19,,,,,,,,,,,,,FrançoiseGiroud,,Japon,,Wasexo,,,prci,,VoteNanaAddo,,,Ségou,,,,,,
1405,,MGDS3,,,CoronaVirusSA,,,,,,,,,,,,,JeanneLanvin,,TICAD7,,IndependanceBenin,,,CI_Ghana,,Presidency,,,IBK,,,,,,
1406,,MGDS3,,,SMMEs,,,,,,,,,,,,,GrandsLacs,,Yokohama,,Wasexo,,,prci,,Ghana,,,IBK,,,,,,
1407,,MGDS3,,,COVID19,,,,,,,,,,,,,LiputaCollection,,RDC,,wasexo,,,CI_Ghana,,ChatWithAuntieBecky,,,Libye,,,,,,
1408,,MGDS3,,,COVID19,,,,,,,,,,,,,AnnaWintour,,Japon,,prbenin,,,prci,,ChatWithAuntieBecky,,,IBK,,,,,,
1409,,MGDS3,,,COVID19,,,,,,,,,,,,,YouFashionMe,,TICAD7,,IndependanceBenin,,,CI_Ghana,,ChatWithAuntieBecky,,,IBK,,,,,,
1410,,MGDS3,,,COVID19,,,,,,,,,,,,,Burundi,,Yokohama,,IndependanceBenin,,,prci,,ChatWithAuntieBecky,,,Bamako,,,,,,
1411,,MGDS3,,,COVID19,,,,,,,,,,,,,Rallye,,RDC,,Wasexo,,,CI_Ghana,,ChatWithAuntieBecky,,,Dubaï,,,,,,
1412,,MGDS3,,,COVID19,,,,,,,,,,,,,Burundi,,Japon,,IndependanceBenin,,,prci,,ChatWithAuntieBecky,,,IBK,,,,,,
1413,,MGDS3,,,CoronaVirusSA,,,,,,,,,,,,,burundigov,,TICAD7,,Wasexo,,,CI_Ghana,,ChatWithAuntieBecky,,,IBK,,,,,,
1414,,MGDS3,,,COVID19,,,,,,,,,,,,,Burundi,,RDC,,wasexo,,,prci,,ChatWithAuntieBecky,,,Dubaï,,,,,,
1415,,MGDS3,,,CoronaVirusSA,,,,,,,,,,,,,Burundi,,Japon,,IndependanceBenin,,,CI_Ghana,,ChatWithAuntieBecky,,,IBK,,,,,,
1416,,MGDS3,,,COVID19,,,,,,,,,,,,,FDNB,,TICAD7,,wasexo,,,prci,,ChatWithAuntieBecky,,,Dubaï,,,,,,
1417,,MGDS3,,,CoronaVirusSA,,,,,,,,,,,,,YouFashionMe,,TICAD,,IndependanceBenin,,,Ghana,,ChatWithAuntieBecky,,,IBK,,,,,,
1418,,MGDS3,,,COVID19,,,,,,,,,,,,,FreedomFightersWeek,,RDC,,wasexo,,,prci,,ChatWithAuntieBecky,,,Dubaï,,,,,,
1419,,MGDS3,,,CoronaVirusSA,,,,,,,,,,,,,Burundi,,TICAD7,,IndependanceBenin,,,prci,,ChatWithAuntieBecky,,,AbuDhabi,,,,,,
1420,,MGDS3,,,coronavirus,,,,,,,,,,,,,FDNB,,Kinshasa,,ClaudineTALON,,,Ghana,,ChatWithAuntieBecky,,,SommetAfriqueFrance,,,,,,
1421,,MGDS3,,,coronavirus,,,,,,,,,,,,,Burundi,,RDC,,IndependanceBenin,,,prci,,ChangeIsComing,,,IBK,,,,,,
1422,,MGDS3,,,coronavirus,,,,,,,,,,,,,CEPI,,Gouvernement,,IndependanceBenin,,,prci,,VoteforNanaAddo,,,IBK,,,,,,
1423,,MGDS3,,,coronavirus,,,,,,,,,,,,,CECI,,RDC,,Wasexo,,,prci,,WhenNanaComes,,,AbuDhabi,,,,,,
1424,,MGDS3,,,coronavirus,,,,,,,,,,,,,TheUFW2019,,Gouvernement,,Prbenin,,,ConseilDesMinistresCI,,VoteNanaAddo,,,AbuDabi,,,,,,
1425,,MGDS3,,,coronavirus,,,,,,,,,,,,,TheUFW2019,,RDC,,PatriceTALON,,,ConseilDesMinistresCI,,WhenNanaComes,,,IBK,,,,,,
1426,,MGDS3,,,Ramaphosa,,,,,,,,,,,,,YouFashionMe,,Lecture,,IndependanceBenin,,,ConseilDesMinistresCI,,VoteNanaAddo,,,AbuDhabi,,,,,,
1427,,Malawi,,,Ramaphosa,,,,,,,,,,,,,YouFashionMe,,CompositionGouvernement,,Wasexo,,,ConseilDesMinistresCI,,GhElections,,,AbuDhabi,,,,,,
1428,,MGDS3,,,lockdown,,,,,,,,,,,,,YouFashionMe,,RDC,,Prbenin,,,ConseilDesMinistresCI,,WhenNanaComes,,,IBK,,,,,,
1429,,MGDS3,,,Ramaphosa,,,,,,,,,,,,,YouFashionMe,,FormationGouvernement,,PatriceTALON,,,ConseilDesMinistresCI,,VoteNanaAddo,,,IBK,,,,,,
1430,,MGDS3,,,Ramaphosa,,,,,,,,,,,,,YouFashionMe,,RDC,,IndependanceBenin,,,prci,,WhenNanaComes,,,Dakar,,,,,,
