,@Trevornoah,@GarethCliff,@SAPresident,@News24,@Julius_S_Malema,@helenzille,@mailandguardian,@5FM,@loyisogola,@Computicket,@MTVbaseAfrica,@OfficialCSA,@UlrichJvV,@euphonik,@BBCAndrewH,@Camfed,@BobSkinstad,@SamsungSA,@liveamp,@hartleyr,@SmithInAfrica,@gertjohan,@_AfricanUnion,@SandtonCity,@ParliamentofRSA,@Mo_IbrahimFdn,@NDOCKenya,@PeterGreste,@JendayiFrazer,@art2gee,@IECSouthAfrica,@forbesafrica,@Entrepreneur_SA,@geoffreyyork,@HenleyAfrica,@IFCAfrica,@africaprogress,@MbuyiseniNdlozi,@FoodBlogCT,@AfricaResearch,@MadeItInAfrica,@cnbcafrica,@willintune,@AfricaGoodNews,@ThinkAfricaFeed,@CityofJoburgZA,@theafricareport,@schneiderhome,@TheStar_news,@rangerdiaries,@daniel_howden,@Aynte,@GautengProvince,@TechCentral,@africamedia_CPJ,@savetherhino,@mary_harper,@okayafrica,@africagathering,@MercedesBenz_SA,@ayittey,@cx73,@africatechie,@Hamza_Africa,@ONEinAfrica,@audisouthafrica,@thisisafrica,@jaxpanik,@forbeesta,@t_mcconnell,@equal_education,@mikestopforth,@iamsuede,@JamalMOsman,@KahnMorbee,@artsouthafrica,@malonebarry,@InvestInAfrica,@TheEIU_Africa,@sarzss,@VISI_Mag,@BrendanSAfrica
1580,,,,,,,,5FMTop40,,,BaseLines,U19CWC,,,,Africa,,,NgiyazfelaLiveAMP,,,Fashion,Africancitizens,capewoolssa,,peace,,FreeAJStaff,Kenyadecides,WEF16,,healthcare,,,Quote,Women,fisheries,,,urban,Entrepreneurial,Covid_19,,Nigeria,West,ExploreJoburg,africa,,,wild,,,COVID19SA,,,,Mogadishu,,data2015,,,KentonX,,KOT,sustainability,,,,FreeAJStaff,GuineaBissau,,,BlackExcellence,Black,,,,,Nigeria,oscarpistorius,,
1581,,,,,,,,5FMTop40,,,BaseFaceOff,SAu19s,,,,CAMFED25,,,LiveAMP,,,Bike,AUReforms,aboutlastnight,,ParisPeaceForum,,AJretrial,kenyadecides,PowerHour,,FOHSummit,,,LeadershipMatters,ACF2018,SDGs,,,Ghana,Ghana,CNBCAfrica,,Lesotho,Uganda,JoburgYouthBiz,EastAfrica,,,Africa,,,GautengCOVID19,,,,refugeeswelcome,,data2015,,,EasternCape,,Somalia,ecofriendly,,,,Fahmy,Congo,,,bravo,British,,,,,Benin,Steenlamp,,
1582,,,,,,,,5FMTop40,,,BaseGqomNation,SAu19s,,,,YoungLeaders,,,LiveAMP,,,Love,AfricanUnion,AW19,,ParisPeaceForum,,FreeAJStaff,kenyadecides,Netflix,,Section27,,,henleyafrica,ACF2018,Africa,,,BokoHaram,IMF,DenisGoldberg,,SouthAfrica,gayrights,JoburgIDP20,COVID19,,,conservation,,,COVID19SA,,,,Somaliland,,DataScience,,,Wilderness,,PopeInKenya,dogood,,,,MohamedFahmy,SouthSudan,,,BlackExcellence,Arab,,,,,Nigeria,oscar,,
1583,,,,,,,,5FMTop40,,,BaseGqomNation,U19CWC,,,,crops,,,Popular,,,IYD2015,AUReforms,aboutlastnight,,MIFBoard,,JournalismIsNotACrime,kenyadecides,DsTV,,FOHSummit,,,management,ACF2018,ICYMI,,,Nigeria,Rwandan,Edcon,,Uganda,Africans,JoburgYouthBiz,Tanzania,,,wild,,,COVID19,,,,Somalis,,DataViz,,,Wilderness,,Somalia,creativejobs,,,,FreeAJStaff,BurkinaFaso,,,LosAngeles,Muslims,,,,,Mali,oscarpistorius,,
1584,,,,,,,,5FMTop40,,,BaseGqomNation,SAvNGA,,,,NYC,,,LiveAMP,,,theNEXTgenZA,AfricanUnion,Repost,,ParisPeaceForum,,AJretrial,kenyadecides,lunchon2000,,FOHSummit,,,Maboneng,ACF2018,podcast,,,Zimbabwe,Ugandan,Covid_19,,nightlife,homophobia,WeServeJoburg,COVIDー19,,,wanderlust,,,COVID19,,,,Syria,,data2015,,,Wilderness,,AlShabaab,AfricaDATAReport,,,,Iraq,Ethiopia,,,LeimertPark,Turkey,,,,,SierraLeone,Winnie,,
1585,,,,,,,,LiveUltraLoud,,,BaseGqomNation,FutureStars,,,,TeamQCT,,,POPULAR,,,theNEXTgenZA,AUReforms,SAFW21,,peace,,FREEAJSTAFF,kenyadecides,Oscars2016,,FutureHealth,,,Africa,IFC,MCFScholars,,,Somaliland,entrepreneurs,CNBCAfrica,,TheAfricaTheMediaNeverShowsYou,coloniallegacy,JoburgYouthBiz,africa,,,nature,,,CoronavirusInSA,,,,Syria,,DataViz,,,St,,Zimbabwe,AfricaDATAReport,,,,US,SouthSudan,,,Harlem,Somalia,,,,,Kenya,Samanthawalker,,
1586,,,,,,,,Ultimix,,,BaseGqomNation,SAvNGA,,,,LetUsDance,,,LIVEAMP,,,theNEXTgenZA,AfricanUnion,Repost,,ParisPeaceForum,,JournalismIsNotACrime,kenyaelections,Tanzania,,FOHSUMMIT,,,leadership,ACF2018,Gambia,,,Debt,eco,COVID19,,climatesmart,Museveni,YouthDay,COVID19,,,peace,,,CoronaVirusUpdate,,,,Somaliland,,infographies,,,KalkBay,,Mugabe,AfricaDATAReport,,,,Obama,Sudan,,,SuedeDiary,Zimbabwe,,,,,Zambia,James_Foley,,
1587,,,,,,,,UltraSA2020,,,BaseGqomNation,FutureStars,,,,CAMASister,,,POPULAR,,,theNEXTgenZA,AUReforms,SAFW21,,governance,,AJstaff,kenyadecides,socialmedia,,FOHSummit,,,Quote,ACF2018,InlandFisheries,,,corruption,Africa,COVID19,,ElNino,gayrights,SouthAfrica,technology,,,elephant,,,CoronavirusInSA,,,,Aleppo,,data2015,,,KalkBay,,Ebola,AfricaDATAReport,,,,IslamicState,Libya,,,TECHTUESDAY,British,,,,,SaoTomePrincipe,Syria,,
1588,,,,,,,,ThabootyDrive,,,BaseGqomNation,WARvKNI,,,,NYC,,,LiveAmp,,,IYD2015,AfricanUnion,ShowcaseShowface,,Angola,,freeAJstaff,Obama,stats,,health,,,LeadershipMatters,ACF2018,Aquaculture,,,Tanzania,Africa,CNBCAfrica,,TheAfricaTheMediaNeverShowsYou,Uganda,YouthMonth,Africa,,,conservation,,,COVID19,,,,Mogadishu,,data2015,,,MitchellsPlain,,Liberia,AfricaDATAReport,,,,ISIS,Ethiopia,,,TECHCNXT,UK,,,,,Ghana,mandela,,
1589,,,,,,,,TheStirUp,,,BaseGqomNation,DOLvLIO,,,,Camfed25,,,Popular,,,YouthDay,Africa,AW19,,ParisPeaceForum,,AJRetrial,KenyaElection,trends,,FOHSummit,,,Africa,Zimbabwe,Africa,,,AntiCorruptionDay2017,Nike,CNBCAfrica,,AfDB,corruption,YouthMonth,Covid19,,,Africa,,,COVID19SA,,,,Syria,,BigData,,,CapeTown,,Arsenal,AfricaDATAReport,,,,worldhijabday,Kenya,,,VIDEO,Muslims,,,,,Nigeria,zuma,,
1590,,,,,,,,MatchInAfrica,,,BaseGqomNation,COBvTTN,,,,EducationChangesEverything,,,LiveAmp,,,theNEXTgenZA,Rwanda,SAFWSandtonCity,,IIAG,,FreeAJStaff,Kenya,backtoschool,,ForbesAfrica,,,Omnium15,Nigeria,UNFAO,,,SierraLeone,MTN,DoingBusinessInRwanda,,AfDB,GuineaBissau,JobSeekersWednesday,COVIDー19,,,ivory,,,SaferJoburg,,,,Somalia,,data2015,,,MitchellsPlain,,Mourinho,poverty,,,,WaarWasJy,Ethiopia,,,tech,British,,,,,BurkinaFaso,Mandela,,
1591,,,,,,,,TrafficJams,,,MTVBaseTrivia,SAvNGA,,,,NYC,,,LiveAmp,,,YouthDay,Kenya,SandtonCity,,Africa,,AJretrial,KenyaDecides,TheVenture,,mortality,,,creativity,FTIFCAwards,fisheries,,,AntiCorruptionDay2017,Dangote,Rwanda,,FollowFriday,Refugees,joburgvacancies,africa,,,Elephant,,,JoburgCares,,,,Somaliland,,data2015,,,halfmarathon,,Chelsea,AfricaDATAReport,,,,Fahmy,Kenya,,,TECHCNXT,Somalia,,,,,Ghana,Mandela,,
1592,,,,,,,,LiveUltraLoud,,,RIPEbony,FutureStars,,,,GenderEquality,,,Popular,,,IYD2015,Ethiopia,SandtonCity,,youth,,AJRetrial,kenyadecides,MegaTrend,,ForbesAfrica,,,Mpumalanga,solar,electricity,,,Tanzania,Africa,CNBCAfrica,,AfDB,easternDRC,Day83ofLockDown,Beijing,,,Africa,,,COVID19SouthAfrica,,,,MOIbrahim,,data2015,,,CapeTown,,Mogadishu,AfricaDATAReport,,,,MohammedFamy,Uganda,,,TECHCNXT,Mogadishu,,,,,Malawi,Mandela,,
1593,,,,,,,,UltraSA2020,,,BaseFaceOff,SAu19s,,,,nyc,,,liveamp,,,Entrepreneurship,Djibouti,YoliswaMqoco,,education,,BREAKING,KenyaElection,DavidBowie,,ForbesWomanAfrica,,,Nelspruit,FTIFCAwards,SDGs,,,AntiCorruptionDay2017,Tanzanian,COVID19,,AfDB,Uganda,GautengReliefFund,Ghana,,,conservation,,,COVID19,,,,Africa,,dat2015,,,MitchellsPlain,,Somalia,AfricaDATAReport,,,,Ebola,Nigeria,,,TECHCNXT,Flight_to_Mogadishu,,,,,Ghana,OscarPistorius,,
1594,,,,,,,,Ultimix,,,MTVNews,U19CWC,,,,camfed25,,,LiveAMP,,,Humanity,Chad,SandtonCity,,Afrique,,AJretrial,kenyadecides,CES2016,,healthcare,,,HenleyAfrica,FTIFCAwards,Africa,,,AntiCorruptionDay2017,Tanzanian,Lockdown,,Liberia,TAPreview,JoburgVacancies,afdb,,,wild,,,COVID19SA,,,,Somalia,,data2015,,,halfmarathon,,Bamako,AfricaDATAReport,,,,Liberia,Congo,,,TECHCNXT,EthiopianAirlines,,,,,Ghana,Mandela,,
1595,,,,,,,,UltraSA2020,,,Hotlist,WeAreOne,,,,Nyc,,,liveamp,,,YGeneration,Guinea,SandtonCity,,gouvernance,,AJRetrial,kenyadecides,Netflix,,Futurehealth,,,HenleyEarth,FTIFCAwards,Africa,,,SierraLeone,Rwanda,DenisGoldberg,,schoolmeals,Congo,JobSeekersSA,nigeria,,,photooftheday,,,COVID19SA,,,,Somalia,,GlobalDev,,,CapeTown,,Mali,AfricaDATAReport,,,,IslamicState,Kenya,,,techcnxt16,BREAKING,,,,,DRC,Mandela,,
1596,,,,,,,,ForbesAndFix,,,MTVNews,Sisonke,,,,NYC,,,popular,,,SlipperDay,Sudan,ComeToTheCity,,Africa,,AJretrial,Kenyadecides,CES2016,,Futurehealth,,,Agribusiness,solar,Africa,,,Somaliland,Africa,CNBCAfrica,,solar,urban,JoburgCares,COVID19,,,Africa,,,COVID19SA,,,,Doorashada2016,,SDGs,,,MitchellsPlain,,Belgium,AfricaDATAReport,,,,polio,Kenya,,,TECHCNXT,chairman,,,,,Rwanda,presidency,,
1597,,,,,,,,UltraSA2020,,,MTVNews,Simunye,,,,NYC,,,liveamp,,,Wimpy,Congo,SandtonCity,,governance,,AJRetrial,BBCNewsday,KeyMission,,FOHSummit,,,Management,FTIFCAwards,SB46,,,Nairobi,Nigeria,COVID19,,Lesotho,farming,Covid19SA,COVID19,,,conservation,,,GautengCOVID19,,,,Mogadishu,,data2015,,,halfmarathon,,Burundi,creativejobs,,,,Iraq,Niger,,,TECHCNXT,Somali,,,,,Chad,mandela,,
1598,,,,,,,,Ultimix,,,BaseBirthday,SAvNGA,,,,GFNY,,,LiveAmp,,,GJCBridalCouture,Cameroon,ComeToTheCity,,ParisPeaceForum,,FreeAJStaff,ICC,CES2016,,MyWorstDay,,,MBA,FTIFCAwards,SB46,,,Urban,Kenya,COVID19,,Lesotho,Nairobi,SaveEnergyJHB,SouthAfrican,,,wanderlust,,,COVID19SA,,,,Somalia,,data2015,,,CapeTown,,Nkurunziza,MakeNaijaStronger,,,,Syria,Kenya,,,Tech,Somali,,,,,Mali,mandela,,
1599,,,,,,,,GoodeMorning,,,BaseGqomNation,FutureStars,,,,CAMFED25,,,POPULAR,,,onlyatthezone,Gambia,SandtonCity,,IIAG,,JournalismIsNotACrime,ICC,Snap,,ForbesAfrica,,,International,ridehailing,technology,,,Zimbabwe,Kenya,COVID19,,Afritravel,Sengwer,coronavirus,COVID,,,wild,,,CoronaVirus,,,,Somaliland,,MobileMoney,,,MitchellsPlain,,Bamako,MakeNaijaStronger,,,,IS,Sudan,,,winning,America,,,,,Malawi,nelsonmandelas,,
1600,,,,,,,,GoodeMorning,,,MTVNews,U19CWC,,,,EducationChangesEverything,,,liveamp,,,BeautyCrownTheatre,Gabon,Weylandts,,Africa,,AJRetrial,ICC,CES2016,,MyWorstDay,,,BSchools,DrivingEquality,techtuesday,,,budget,Startup,Edcon,,Gambia,Kenya,Update,COVIDー19,,,cheetah,,,GautengCOVID19,,,,Syria,,data2015,,,halfmarathon,,Mali,MakeNaijaStronger,,,,ISIS,Kenya,,,skurt,Kenyan,,,,,DRC,nelsonmandela,,
1601,,,,,,,,TheStirUp,,,MTVNews,SAu19s,,,,CAMFED25,,,liveamp,,,MissWorldSisters,Cote,SandtonCity,,data,,freeAJstaff,ICC,standards,,AABLA2018,,,Productivity,IFCmarkets,UNFAO,,,Angola,Africa,Covid_19,,afritravel,ancestral,GoldDev,africa,,,rhinos,,,COVID19,,,,Yemen,,BigData,,,CapeTown,,Bamako,MakeNaijaStronger,,,,deadlineday,,,,TECHCNXT,Somalia,,,,,Cameroon,ADayWithoutNews,,
1602,,,,,,,,GoodeMorning,,,MTVNews,CSAnews,,,,Ghana,,,Popular,,,fashion,AUReforms,SandtonCity,,MoIbrahim,,JournalismIsNotACrime,ICC,BigData,,DidYouKnow,,,Communication,IWD2018,BlueEconomy,,,Zimbabwe,start,PSGGroup,,ttot,Embobutforest,SaveOurPlanet,GoodRead,,,photooftheday,,,COVID19,,,,Burco,,CartagenaDataFest,,,MitchellsPlain,,Mali,MakeNaijastronger,,,,Kony2012,,,,DIGITALNOMAD,Dowladda,,,,,China,oscarpistorius,,
1603,,,,,,,,ThabootyDrive,,,MTTVNews,SAvNGA,,,,NYC,,,LiveAMP,,,love,Africa,ComeToTheCity,,agriculture,,AJRetrial,ICC,PranavDhanawade,,AfricaInvestmentForum,,,Workplace,RideHailing,BlueGrowth,,,Somaliland,Africa,COVID19,,travel,Ogiek,Lindhaven,Covid19,,,bigcat,,,COVID19,,,,Hargeysa,,Data2015,,,halfmarathon,,Bamako,IYD2016,,,,icc,,,,Techcnxt,dilay,,,,,Nigeria,overflow,,
1604,,,,,,,,ThabootyDrive,,,MTVNews,U19CWC,,,,CAMAeffect,,,amacamera,,,GJC,PAFoM,SandtonCity,,MoIbrahim,,freeAJstaff,Kenya,StarWars,,Davos,,,TopTips,RideHailing,CaboVerde,,,DRC,Africa,COVID19,,afritravel,Kenya,SaveEnergyJHB,French,,,wanderlust,,,NCOPWeek,,,,Somaliland,,data2015,,,CapeTown,,Mali,MakeNaijaStronger,,,,IS,,,,BEHack,Madaxwaynihii,,,,,Africa,oscarpistorius,,
1605,,,,,,,,TheStirUp,,,MTVNews,ProteasWomen,,,,DigitalReading,,,liveamp,,,GJCBridalCouture,AUPeaceFund,HMMan,,MoIbrahim,,AJRetrial,ICC,takealot,,DidYouKnow,,,Maboneng,Woman,SaveOurOcean,,,Congo,Africa,Kaunda96,,Maputo,MauForest,Covid19SA,British,,,wild,,,NCOPWeek,,,,Syria,,BigData,,,George,,Bamako,IYD2016,,,,IslamicState,,,,SanFrancisco,Soomaaliya,,,,,DRC,overflow,,
1606,,,,,,,,ForbesAndFix,,,MTVNews,SAu19s,,,,tbt,,,liveamp,,,fashion,PAFoM,SandtonCity,,AfricaRising,,Tora,ICC,SunStream,,FOHSUMMIT,,,HenleyAfrica,IFCmarkets,SDG14,,,Angola,African,COVID19,,Mozambique,TuneMeWhat,JMPD,USA,,,London,,,Ntirhisano,,,,Yemen,,data2015,,,TheBoatshed,,Mali,MakeNaijaStronger,,,,BokoHaram,,,,MyMusicMonday,Liberia,,,,,SouthAfrica,pretorius,,
1607,,,,,,,,SAD,,,MTVNews,U19CWC,,,,CAMFED25,,,AMACAMERA,,,love,Germany,UrbanDinnerware,,Africa,,Journalists,ICC,BrydgeAir,,Africa,,,management,IWD2018,DYK,,,Lourenço,entrepreneurs,COVID19,,Afritravel,Maasai,RegionF1,coronavirus,,,wanderlustwednesday,,,COVID19SA,,,,Somaliland,,Africa,,,ThesenIslands,,Bamako,Youths,,,,SugeKnight,,,,CranesInTheSky,Britain,,,,,Senegal,pretorius,,
1608,,,,,,,,ForbesAndFix,,,MTVNews,ProteasWomen,,,,NYC,,,liveamp,,,GJC,China,SandtonCity,,MoIbrahim,,weapons,Pittmanwisdom,KanoKit,,Tanzania,,,African,women,SDGs,,,Liberia,African,COVID19,,ttot,Kenya,joburgservices,oilandgas,,,Africa,,,CoronaVirusSA,,,,Aleppo,,policies,,,Knysna,,Bamako,Health,,,,hiphop,,,,debate,France,,,,,Nigeria,piatorius,,
1609,,,,,,,,5Squad,,,MTVNews,T20WorldCup,,,,Malawi,,,Liveamp,,,theNEXTgen,korea,SandtonCity,,business,,weapons,FESPACO,BB8Droid,,Africa,,,Leadership,RideHailing,Africa,,,elections,Startup,Covid19InSA,,HIV,grass,JoburgIDP20,Africa,,,wilddog,,,Ramaphosa,,,,Yemen,,data2015,,,Wilderness,,Mali,Budget,,,,FreeShawkan,,,,aseatathetable,Germany,,,,,Sudan,SisonkeMsimang,,
1610,,,,,,,,ThabootyDrive,,,AllTheStars,ProteasWomen,,,,education,,,Gugulethu,,,success,indonesia,SandtonCity,,IIAG,,humanrights,Ouagadougou,SmartPack,,AFARP2018,,,Goals,woman,Africa,,,Somaliland,Tanzanian,level4lockdown,,Botswana,Tunisia,JoburgIDP20,oil,,,Africa,,,Ramaphosa,,,,Somaliland,,Data2015,,,BiomimicryDesignWorkshop,,Bamako,MakeNaijaStronger,,,,FreeAJStaff,,,,UgandaAt54,Khashoggi,,,,,Niger,sabcnews,,
1611,,,,,,,,ForbesAndFix,,,BlankPanther,WeAreMore,,,,chelseaflowershow,,,LiveAmp,,,theNEXTgen,Djibouti,SandtonCity,,Africa,,FreeAJStaff,KeDebate13,BB8,,DidYouKnow,,,Growth,entrepreneur,Africa,,,Devolution,Entrepreneur,COVID19,,TheAfricaTheMediaNeverShowsYou,Drugs,JoburgIDP20,gas,,,wanderlust,,,Ramaphosa,,,,UAE,,data2015,,,BiomimicryDesignWorkshop,,Mali,IYD2016,,,,SaudiArabia,,,,SuedeDiary,Ethiopia,,,,,Africa,mandela,,
1612,,,,,,,,GoodeMorning,,,Inspiredbymarley,ProteasWomen,,,,CAMFED25,,,LiveAmp,,,ElenaBara,AUReforms,SandtonCity,,IIAG,,JournalismisNotaCrime,China,BB8,,AABLA2018,,,MeetTheMind,Mali,electricity,,,Kenya,Egypt,ClimateChange,,statsSA,Law,WeServeJoburg,Africa,,,photography,,,Ramaphosa,,,,Ambazonia,,data2015,,,BiomimicryDesignWorkshop,,Bamako,IYD2016,,,,Saudi,,,,SuedeDiary,Ethiopia,,,,,Eritrea,Mandela,,
1613,,,,,,,,Pop,,,MTVBaseCh322,T20WorldCup,,,,educationempowers,,,liveamp,,,XSAFW,ExtraordinarySummit,SandtonCity,,transparency,,pressfreedom,Kenya,MoreYou,,RCS,,,HenleyAfrica,women,DYK,,,Nairobi,sub,DubaiExpo,,seeds4change,Benghazi,JoburgYouthBiz,Angola,,,lion,,,Ramaphosa,,,,Cameroon,,data2015,,,BiomimicryDesignWorkshop,,Mali,MakeNaijaStronger,,,,humanrights,,,,SuedeDiary,African,,,,,Colluli,mandela,,
1614,,,,,,,,ThabootyDrive,,,RIPMowzeyRadio,ProteasWomen,,,,girlseducation,,,gugulethu,,,XmasInJuly,AUHQ,OOTD,,accountability,,AJRetrial,KEDebate,Tweenote,,AfricaTechStartUps,,,HenleyEarth,RideHailing,Africa,,,DRC,Africa,Dubai,,CentralAfricanRepublic,Tripoli,Update,coronavirus,,,Africa,,,Ramaphosa,,,,Africain2017,,DataRevolution,,,BiomimicryDesignWorkshop,,Bamako,YouthDay2016,,,,looting,,,,MOOD,Kenya,,,,,IMF,Mandela,,
1615,,,,,,,,Cancer,,,MTVBaseBirthday,4DaySeries,,,,school,,,LiveAMP,,,XSAFW,AddisAbaba,SandtonCity,,TuesdayThoughts,,AJRetrial,KEDebate2013,TheForceAwakensSA,,FOESummit,,,Agribusiness,women,grid,,,Somaliland,Africa,AdcockIngram,,Mali,GeneralNationalCongress,AlexandraOutage,oil,,,wanderlust,,,Ramaphosa,,,,alqaeda,,data2015,,,BuffaloBay,,Mali,SDGYouthAction,,,,Tsipras,,,,AfricanAncestry,US,,,,,Guinea,healing,,
1616,,,,,,,,WorldCancerDay2020,,,CR7,COBvTTNS,,,,RHSChelsea,,,LiveAMP,,,XmasInJuly,AUReforms,SandtonCity,,Africa,,AJRetrial,KeDebate13,UberX,,MyWorstDay,,,newbeginnings,RideHailing,minigrid,,,Somaliland,Libyan,CBSA410,,climate,DirectCashTransfers,Update,gas,,,sunset,,,Ramaphosa,,,,BurkinaFaso,,africadata,,,LittleMsMila,,Bamako,YouthDay,,,,Tsipras,,,,SuedeDiary,Africa,,,,,Africa,Engel,,
1617,,,,,,,,Ultimix,,,BaseLines,T20WorldCup,,,,movement,,,POPULAR,,,XSAFW,multilaterism,SandtonCity,,MoIbrahim,,AJRetrial,Rwanda,TechAccelerator,,Ghana,,,agri,SharingEconomy,DYK,,,Somaliland,entrepreneurs,COVID19,,FollowFriday,aid,AlexandraOutage,Africa,,,landscape,,,Ramaphosa,,,,Mali,,Data2015,,,Stellenbosch,,Mali,SDG3,,,,GreekElections,,,,NowWatching,Sierra,,,,,WorldBank,Mandela,,
1618,,,,,,,,ForbesAndFix,,,BaseGqomNation,ProteaWomens,,,,garden,,,LiveAMP,,,XmasInJuly,MOEUA,SandtonCity,,Africa,,AJRetrial,African,ZumaHasFallen,,MyWorstDay,,,Nelspruit,RideHailing,SDGs,,,Somaliland,Startup,Expo2020,,localcontent,African,OutageUpdate,ChinaMustPay,,,Africa,,,Ramaphosa,,,,Ethiopia,,Data2015,,,Stellenbosch,,Mali,GoodHealthForAll,,,,GreekElections,,,,RealTalkWithAnele,China,,,,,Cameroon,SAPresidency,,
1619,,,,,,,,HelloDoctor,,,MTVBaseSlayedorShade,AlwaysRising,,,,MeToo,,,Emtee,,,MyWorld,Madagascar,SandtonCity,,IIAG,,AJretrial,Kagame,StreamAfrica,,MyWorstDay,,,Mpumalanga,IFCmarkets,Africa,,,Nigeria,Africa,Dubai,,ecafrica,BokoHaram,ICareIPay,Ogoniland,,,Lion,,,Ramaphosa,,,,Eritrea,,data2015,,,Paarl,,Bamako,MakeNaijaStronger,,,,Syriza,,,,SuedeDiary,British,,,,,Uganda,Madiba,,
1620,,,,,,,,5FMNewz,,,MTVBaseCh322,T20WorldCup,,,,Garden,,,Popular,,,It,AUEOM,TrendAlert,,data,,AJRetrial,Davos,v2v,,MyWorstDay,,,Agribusiness,IWD2018,solar,,,Sierra,Ghanaian,COVID19,,localcontent,Nigerian,OutageUpdate,China,,,Africa,,,Ramaphosa,,,,Saudi,,data2015,,,Squirrel,,Bamako,IYD2016,,,,GoldenDawn,,,,SuedeDiary,Somali,,,,,Somalia,60Minutes,,
1621,,,,,,,,WorldCancerDay,,,BaseFaceOff,ProteasWomen,,,,NationalGardeningWeek,,,LiveAmp,,,It,AUTender,SandtonCity,,MIFScholar,,AJRetrial,Twitter,StreamAfrica,,MyWorstDay,,,Corruption,IFCmarkets,WEFAfrica2017,,,Lagos,entrepreneur,Rwandan,,ecafrica,elections,OutageUpdate,Africa,,,wanderlustwednesday,,,Ramaphosa,,,,Somalia,,data2015,,,Fairview,,Mali,GirlsEverywhere,,,,Greece,,,,SuedeDiary,AShabaab,,,,,Angola,Aspergers,,
1622,,,,,,,,GoodeMorning,,,MTVBaseCh322,AlwaysRising,,,,RHSChelsea,,,popular,,,Mexico,AUProcurement,SandtonCity,,education,,AJretrial,PinkRibbonRedRibbon,StreamAfrica,,Ghana,,,HenleyAfrica,IWD2018,Africa,,,Angola,Africa,Expo2020,,ECAfrica,TheGoodOnes,Lenasia,oil,,,flight,,,Ramaphosa,,,,Puntland,,Data,,,CBC,,Bamako,TeamRefugees,,,,GreekElections,,,,SouthAfrican,Jilib,,,,,Rwanda,Mandela,,
1623,,,,,,,,GoodeMorning,,,BaseGqomNation,4DaySeries,,,,Malawi,,,Thutha,,,MBFWCT,financial,MadeInAfrica,,IIAG,,AJRetrial,Elementary,StreamAfrica,,drones,,,Leadership,RideHailing,Africa,,,Somaliland,Startup,kwibuka26,,localcontent,SouthAfrica,JoburgYouthBiz,gas,,,wildbird,,,Easter,,,,Somalia,,data2015,,,CraftBeer,,Mali,Rio2016,,,,Greece,,,,Superstars,SaudiArabia,,,,,Comoros,sabcnews,,
1624,,,,,,,,BestSongEver,,,BaseGqomNation,COBvTTNS,,,,NYC,,,liveamp,,,MillionThrills,AU,SandtonCity,,SouthAfrica,,AJretrial,Africa,StreamAfrica,,Ghana,,,AgriBusiness,women,Africa,,,Mozambique,Nigeria,CNBCAfrica,,ECafrica,opposition,,Africa,,,conservation,,,Ramaphosa,,,,Qandala,,Data2015,,,SpiceRoute,,Bamako,TeamRefugees,,,,Tsipras,,,,Venice,Britain,,,,,DRC,Mandela,,
1625,,,,,,,,GoodeMorning,,,BaseGqomNation,SAu19s,,,,letusdance,,,liveamp,,,JobWellDoneSA,Institutional,SandtonCity,,IIAG,,AJRetrial,Castle,mindblowing,,tech,,,Henley,RideHailing,WEFAfrica2017,,,NewPost,Zimbabwe,Rwanda,,localcontent,parties,,Ogoniland,,,Africa,,,Ramaphosa,,,,IslamicState,,data2015,,,Paarl,,Mali,Rio2016,,,,Greece,,,,California,Freetown,,,,,Angola,Mandela,,
1626,,,,,,,,GoodeMorning,,,Kpolongo,SAu19s,,,,EducationChangesEverything,,,LiveAMP,,,MissWorld,AU,SandtonCity,,IIAG,,AJRetrial,Meles,V2V,,Robots,,,HenleyAfrica,agribusiness,DYK,,,fake,Nigeria,Nigeria,,ECafrica,SouthAfricans,,podcast,,,Africa,,,Ramaphosa,,,,GambiaDecides,,Data2015,,,AnthonijRupert,,UN,MakeNaijaStronger,,,,Greece2015,,,,SoundsRacistIsThatRacist,SierraLeone,,,,,SWF,ladygaga,,
1627,,,,,,,,RugbyThatRocks,,,Anticipate,SAvSL,,,,CAMFED25,,,Gugulethu,,,GJC,AfricaMedia,SandtonCity,,positivism,,AJRetrial,Ethiopia,StreamAfrica,,drones,,,HenleyEarth,SharingEconomy,WEFAfrica2017,,,Ghana,Millennial,Abuja,,localcontent,Etolls,,COVID19,,,Conservation,,,Ramaphosa,,,,YahyaJammeh,,data2015,,,AnthonijRupert,,Bamako,MakeNaijaStronger,,,,Syriza,,,,SuedeDiary,Khabib,,,,,Angola,UNSC,,
1628,,,,,,,,KickItWith5,,,BaseGqomNation,FutureStars,,,,RHSChelsea,,,LiveAmp,,,spreeshoptheramp,AfricaDayofInformation,SandtonCity,,MIFFellows,,AJRetrial,Meles,Icasa,,Ghana,,,Africa,women,WEFAfrica2017,,,Chad,agripreneurs,Lagos,,ECAfrica,SANRAL,,COVID19,,,wanderlust,,,Ramaphosa,,,,TheGambia,,data2015,,,Franschoek,,Mali,MakeNaijaStronger,,,,Ukraine,,,,Mexican,SierraLeone,,,,,Angola,M23,,
