,hashtag,mention
488,GoodeMix,Parent24
489,alcoholban,Wheels24
490,GoodeMorning,Channel24
491,GoodeMorning,BISouthAfrica
492,Day109ofLockdown,MMkhabel
493,GoodeMorning,Fin24
494,GoodeMorning,BISouthAfrica
495,ImmediateEffect,azarrahk
496,cyrilramaphosa,BISouthAfrica
497,COVID19inSA,BISouthAfrica
498,TheStirUp,W24_SA
499,cyrilramaphosa,Health24com
500,Covid19inSA,BISouthAfrica
501,Day108OfLockdown,BISouthAfrica
502,XLMornings,Health24com
503,SelectiveStyles,JennaEtheridge
504,SelectiveStyles,BISouthAfrica
505,TheTrapHouse,BISouthAfrica
506,TheTrapHouse,BISouthAfrica
507,TheHouseConnect,CebohNyambose
508,5FMTop40,BISouthAfrica
509,5FMTop40,food24
510,5FMTop40,Parent24
511,5FMTop40,Wheels24
512,5FMTop40,BISouthAfrica
513,ForbesAndFix,Fin24
514,UnpopularOpinion,TeamNews24
515,Friday,Wheels24
516,Day106ofLockdown,Parent24
517,NewMusicFriday,Channel24
518,LiveAtNight,Channel24
519,InTheMix,Bhekisisa_MG
520,UnpopularOpinion,Parent24
521,YoungLove5,TeamNews24
522,YoungLove5,karynmaughan
523,WhosMoreLikely,BISouthAfrica
524,CassimsKitchen,Wheels24
525,InTheMix,Sesona_Ngqaks
526,YoungLove5,Sport24news
527,FoebesAndFix,Sesona_Ngqaks
528,CassimsKitchen,BISouthAfrica
529,UnpopularOpinion,TeamNews24
530,MidMorningsOn5,Sport24news
531,Day104ofLockdown,BISouthAfrica
532,GoodeMorning,Channel24
533,GoodeMorning,Fin24
534,InTheMix,gerbjan
535,ForbesAndFix,Naspers
536,BestIEverHad,TeamNews24
537,UnpopularOpinion,TeamNews24
538,GoodeMorning,Wheels24
539,Day103ofLockdown,JennaEtheridge
540,LiveatNight5,CebohNyambose
541,InTheMix,BISouthAfrica
542,5Drive,BISouthAfrica
543,5Drive,kaveels
544,ForbesAndFix,TeamNews24
