,hashtag,mention
4056,WeServeJoburg,CastleLagerSA
4057,JoburgYouthBiz,kappie777
4058,YouthMonth,CastleLagerSA
4059,WeServeJoburg,NgidiLungi
4060,JourgServices,CastleLagerSA
4061,JoburgYouthBiz,QuinnyDeKock69
4062,WeServeJoburg,shamsi90
4063,JoburgIDP20,Paarl_Rocks
4064,JoburgIDP20,kfc
4065,JoburgIDP20,KagisoRabada25
4066,JoburgIDP20,QuinnyDeKock69
4067,JoburgIDP20,LauraWolvaardt
4068,JoburgYouthBiz,QuinnyDeKock69
4069,JoburgIDP20,LauraWolvaardt
4070,JoburgIDP20,momentum
4071,JoburgYouthBiz,DavidMillerSA12
4072,WeServeJoburg,Danevn811
4073,Jhbtraffic,LauraWolvaardt
4074,JoburgRoadSafety,KFCSA
4075,JoburgIDP20,AnrichNortje02
4076,JoburgIDP20,QuinnyDeKock69
4077,JoburgYouthBiz,QuinnyDeKock69
4078,WeServeJoburg,NgidiLungi
4079,JoburgYouthBiz,NgidiLungi
4080,JoburgIDP20,AnrichNortje02
4081,JoburgIDP20,Janneman_Malan
4082,unemployment,CT_Blitz
4083,coronavirus,Paarl_Rocks
4084,YouthMonth,shamsi90
4085,JoburgIDP20,Titans_Cricket
4086,JoburgIDP20,LionsCricketSA
4087,JoburgIDP20,CobrasCricket
4088,JoburgIDP20,DJZinhle
4089,JoburgIDP20,Radio2000ZA
4090,JoburgIDP20,romytitus
4091,JoburgIDP20,OfficialCSA
4092,JoburgIDP20,MdpMinx22
4093,JoburgIDP20,tbavuma10
4094,JoburgIDP20,OfficialCSA
4095,JoburgIDP20,ThembaSirCheese
4096,YouthWebinar,CGLCricket
4097,JoburgIDP20,paddysmith_za
4098,JoburgIDP20,icarusjhb
4099,JoburgIDP20,OfficialCSA
4100,JoburgIDP20,KFCSA
4101,Jhbtraffic,DavidMokopanel2
4102,JoburgRoadSafety,Momentum_za
4103,EmergencyShutdown,Momentum_za
4104,Bryanston,jpduminy21
4105,cleveland,KFCSA
4106,JoburgIDP20,KFCSA
4107,JoburgIDP20,Beuran_H13
4108,JoburgIDP20,KFCSA
4109,JoburgIDP20,Momentum_za
4110,JoburgIDP20,SuneLuus
4111,JoburgIDP20,KFCSA
4112,ExploreJoburg,NgidiLungi
4113,JoburgIDP20,PoppingCreaseSA
4114,JoburgIDP20,OfficialCSA
4115,JoburgIDP20,KFCSA
4116,YouthMonth,LauraWolvaardt
4117,JoburgIDP20,KFCSA
4118,JoburgIDP20,AnrichNortje02
4119,JoburgYouthBiz,betway
4120,JoburgYouthBiz,betway
4121,JoburgServices,KFCSA
4122,JoburgServices,ICC
4123,UrbanSenseApp,LauraWolvaardt
4124,JoburgYouthBiz,Momentum_za
4125,joburgvacancies,Momentum_za
4126,JoburgCares,SabeehaMajid
4127,Youthmonth2020,LionsCricketSA
4128,JoburgYouthBiz,OfficialCSA
4129,JoburgYouthBiz,StandardBankZA
4130,SaveEnergyJHB,Momentum_za
4131,JoburgYouthBiz,J_alenoy
4132,WeServeJoburg,kulanicool
4133,JoburgCares,Heini22
4134,CriticalPlannedOutage,StandardBankZA
4135,Kyalami,trisha_chetty
4136,unemployment,Momentum_za
4137,coronavirus,Momentum_za
4138,YouthMonth,AnrichNortje02
4139,JoburgYouthBiz,kappie777
4140,JoburgYouthBiz,VDP_24
4141,JoburgYouthBiz,StandardBankZA
4142,JoburgYouthBiz,PitchVision
4143,JoburgYouthBiz,RobinPeterson
4144,JoburgYouthBiz,shamsi90
4145,JoburgYouthBiz,keshavmaharaj16
4146,Maternity,Momentum_za
4147,MaternityShoot,5FM
4148,yummymommy,HisNameIsJude
4149,WednesdayThoughts,OfficialCSA
4150,JoburgYouthBiz,geoffreytoyana
4151,JoburgYouthBiz,MdpMinx22
4152,JoburgYouthBiz,andileluck19
4153,JoburgYouthBiz,shamsi90
4154,Joburgyouthbiz,QuinnyDeKock69
4155,Joburgyouthbiz,KagisoRabada25
4156,BREAKING,HeartlinesZA
4157,Joburgyouthbiz,GEMReport
4158,JoburgYouthBiz,taraturk1
4159,JoburgYouthBiz,HeartlinesZA
4160,JoburgYouthBiz,GEMReport
4161,JoburgYouthBiz,wealthyhealthyl
4162,JoburgYouthBiz,UlrichJvV
4163,JoburgYouthBiz,HeartlinesZA
4164,JoburgYouthBiz,offroadrj
4165,JoburgYouthBiz,UlrichJvV
4166,JoburgYouthBiz,HeartlinesZA
4167,JoburgYouthBiz,wisanishilumani
4168,JoburgYouthBiz,battifund1
4169,JoburgYouthBiz,UlrichJvV
4170,JoburgYouthBiz,HeartlinesZA
4171,JoburgYouthBiz,sharon_the_goat
4172,JoburgYouthBiz,UlrichJvV
4173,JoburgYouthBiz,HeartlinesZA
4174,JoburgYouthBiz,hotklou
4175,JoburgYouthBiz,UlrichJvV
4176,JoburgYouthBiz,HeartlinesZA
4177,JoburgYouthBiz,madthinus
4178,JoburgYouthBiz,UlrichJvV
4179,WeserveJoburg,HeartlinesZA
4180,JoburgYouthBiz,UlrichJvV
4181,WeserveJoburg,ChangeAgentSA
4182,JoburgYouthBiz,ChangeAgentSA
4183,WeServeJoburg,taraturk1
4184,YouthDay,HeartlinesZA
4185,JoburgYouthBiz,ChangeAgentSA
4186,JoburgYouthBiz,HeartlinesZA
4187,JoburgCouncil,parabenstv
4188,JoburgCouncil,UlrichJvV
4189,JoburgCouncil,Education2030UN
4190,Update,vivianonano
4191,JoburgIDP20,NayaRivera
4192,JoburgIDP20,UlrichJvV
4193,JoburgIDP20,UlrichJvV
4194,YouthMonth,pumlani18
4195,JoburgYouthBiz,UlrichJvV
4196,Update,pumlani18
4197,RobertshamOutage,Lwaminathy
4198,COVID19,UlrichJvV
4199,Trade,allen40323909
4200,pandemic,ClairityKitten
4201,Africa,SZigomba
4202,Ethiopia,UlrichJvV
4203,Oromia,UlrichJvV
4204,GERD,EMMANUELBONOKO
4205,Mali,HopeSAorg
4206,Paris,CeecesTravel
4207,FunFact,UlrichJvV
4208,Kenya,UlrichJvV
4209,Mali,taraturk1
4210,COVIDー19,EMMANUELBONOKO
4211,Africa,Keneiloe
4212,Eritrea,Keneiloe
4213,Mali,deanschneiderFp
4214,Bamako,lindsay1310
4215,Kenya,Thursley
4216,pandemic,taraturk1
4217,Quarantine,DoroLef
4218,COVID19,Thrishni
4219,Mali,KabwePRQ
4220,Mali,MeleneRossouw
4221,Paris,UlrichJvV
4222,Kenya,WashFellowship
4223,COVIDー19,ECAatState
4224,Africa,USEmbassySA
4225,CoronavirusPandemic,WashFellowship
4226,Tanzania,ECAatState
4227,Mali,USEmbassySA
4228,protests,taraturk1
4229,Zambia,Astro_Doug
4230,China,NatGeo
4231,Iran,guille2573
4232,Africa,UlrichJvV
4233,angola,WendelBloem1
4234,Nigeria,UlrichJvV
4235,SouthAfrica,mohale_motaung
4236,alcoholban,PaulasPicks
4237,COVIDー19,UlrichJvV
4238,Africa,somizi
4239,Mali,UlrichJvV
4240,Tanzania,Conciliah
4241,African,Lean3JvV
4242,Zambia,UlrichJvV
4243,backtoschool,UlrichJvV
4244,lockdowns,MorningLiveSABC
4245,China,Royston007
4246,Iran,UlrichJvV
4247,Africa,MorningLiveSABC
4248,angola,Royston007
4249,Nigeria,MorningLiveSABC
4250,SouthAfrica,MorningLiveSABC
4251,COVIDー19,UlrichJvV
4252,Africa,taraturk1
4253,Mali,UlrichJvV
4254,CoronavirusPandemic,tickethello
4255,Tanzania,UlrichJvV
4256,Zambia,josephinewachu
4257,China,MetjahTebogo
4258,Iran,Matome_Kay
4259,backtoschool,LemuelIrabor
4260,AI,FadingTeacher
4261,technology,taraturk1
4262,Ghana,oysterfestival
4263,backtoschool,taraturk1
4264,lockdowns,UlrichJvV
4265,COVID19,anyleth23
4266,SouthAfrica,UlrichJvV
4267,alcoholban,UlrichJvV
4268,COVID19,brownfaquette
4269,COVIDー19,Incog_Negro_
4270,Africa,UlrichJvV
4271,SouthAfrica,sueannette4
4272,backtoschool,UlrichJvV
4273,lockdowns,WendelBloem1
4274,Ethiopia,55DoxMom
4275,racial,Eyecatcher_Pro
4276,USA,mpho_theegift
4277,Nigerian,GEMReport
4278,SouthAfrica,UlrichJvV
4279,SouthAfrica,Lucky2plus3
4280,Nigeria,Lucky2plus3
4281,cleanenergy,WildAidAfrica
4282,Russia,ChildrenOfFire
4283,Africa,UlrichJvV
4284,federalism,shakira
4285,Ethiopian,HillaryClinton
4286,America,UNESCO
4287,COVID19,GEMReport
4288,Russia,UlrichJvV
4289,TPLF,vivianonano
4290,Nigerian,ManosAntoninis
4291,Eritrean,GEMReport
4292,racial,GEMReport
4293,USA,GEMReport
4294,COVID19,ShahanR
4295,Lockdowns,GEMReport
4296,Afrika,MangroveProject
4297,foodinflation,EMMANUELBONOKO
4298,maize,UlrichJvV
4299,Nigeria,taraturk1
4300,cotedivoire,UlrichJvV
4301,inflation,tee_kathy
4302,Nigeria,PromiseMoth
4303,Nigeria,UlrichJvV
4304,COVIDー19,LSelvar
4305,africa,UlrichJvV
4306,Burundi,NikkySo
4307,cotedivoire,mabathoana
4308,Food,UlrichJvV
4309,Africa,mabathoana
4310,Nigeria,manojksingh9333
4311,Kenya,WildAidAfrica
4312,DRC,ElmaStrauch
4313,Burundi,CurtisSirShane
4314,cotedivoire,CurtisSirShane
4315,bakayoko,UlrichJvV
4316,inflation,MsBTutu
4317,Nigeria,WasTshele
4318,Nigeria,UlrichJvV
4319,HumanRights,CeecesTravel
4320,Rwanda,poormanscaviar
4321,RwOT,Snazo_Gulwa
4322,COVIDー19,poormanscaviar
4323,Africa,preshous97
4324,sudanese,Jacq_nyc
4325,rwanda,Cleetis
4326,kagame,UNESCO
4327,WHO,vivianonano
4328,Covid19,GostosaMN
4329,rwanda,UlrichJvV
4330,rwanda,UlrichJvV
4331,kagame,UlrichJvV
4332,rwanda,rangerandries
4333,kagame,UlrichJvV
4334,coronavirus,infosouthcoast
4335,rwanda,rangerandries
4336,coronavirus,infosouthcoast
4337,rwanda,gelnaram_33
4338,COVID19,dheusdensza
4339,Madagascar,VigroDeep
4340,Beijing,freshon947
4341,Rwandan,freshon947
4342,Kenya,947
4343,CORRUPTION,david8491699
4344,COVIDー19,euphonik
4345,Africa,947
4346,American,euphonik
4347,China,947
4348,COVID19,AbramLuruli
4349,Africa,euphonik
4350,pandemic,947
4351,Rwandan,madela_np
4352,kenyatta,euphonik
4353,agriculture,PunkMbedzi
4354,competitive,947
4355,COVIDー19,yongama
4356,Africa,euphonik
4357,Madagascar,PascalandPearce
4358,Beijing,947
4359,COVID19,Mankwe_Sako
4360,Africa,euphonik
4361,European,HOUSEHOLDFUNK
4362,French,947
4363,Kenya,HOUSEHOLDFUNK
4364,kenyatta,947
4365,COVID19,MutanhukiM
4366,COVIDー19,euphonik
4367,DRC,artistiksouldj
4368,agriculture,euphonik
4369,competitive,PunkMbedzi
4370,COVIDー19,947
4371,Africa,PunkMbedzi
4372,US,sello_prestige
4373,Africa,euphonik
4374,covid19,BekzinTerris
4375,Elections2020,Kaygeezly
4376,AfCFTA,BekzinTerris
4377,Sasol,AndrewMahlangu
4378,Sonatrach,euphonik
4379,Chinese,BekzinTerris
4380,Nigeria,PunkMbedzi
4381,USA,947
4382,NewYork,enoonapa
4383,Africa,BekzinTerris
4384,Algeria,DJPTOSA
4385,Sonatrach,euphonik
4386,Lebanon,AphaneOrbit
4387,COVIDー19,euphonik
4388,Africa,BekzinTerris
4389,Nigeria,PascalandPearce
4390,Chinese,HOUSEHOLDFUNK
4391,Americans,PunkMbedzi
4392,SouthAfrican,947
4393,Algeria,euphonik
4394,Sonatrach,HOUSEHOLDFUNK
4395,COVIDー19,PascalandPearce
4396,Africa,HOUSEHOLDFUNK
4397,COVID19,PunkMbedzi
4398,cotedivoire,_SteveMalambe
4399,AmadouGonCoulibaly,euphonik
4400,USA,ukhozi_fm
4401,NewYork,DJSgqemeza
4402,Africa,euphonik
4403,AmadouGonCoulibaly,ukhozi_fm
4404,cotedivoire,Ms_kellzz
4405,Malawi,euphonik
4406,men,freshon947
4407,women,skhuw
4408,Libya,euphonik
4409,GNA,sello_prestige
4410,COVID19,euphonik
4411,Egypt,DJFreshSA
4412,COVID19,MoseamediKabelo
4413,Malawi,euphonik
4414,Africa,947
4415,men,freshon947
4416,women,MantsoePout
4417,Libya,DJFreshSA
4418,GNA,DJFreshSA
4419,oil,IAmDJVoodoo
4420,COVIDー19,euphonik
4421,africa,HOUSEHOLDFUNK
4422,Egypt,DHLAfrica
4423,pandemic,KingKhado
4424,USA,euphonik
4425,Africa,DonaldInDenial
4426,Malawi,SandtonCity
4427,men,freshon947
4428,women,PascalandPearce
4429,Libya,947
4430,GNA,Bawa54952820
4431,COVIDー19,euphonik
4432,africa,freshon947
4433,Egypt,947
4434,G5,shirley_mvp
4435,Sahel,euphonik
4436,COVID19,DJFreshSA
4437,WTO,DJReadyD
4438,kamerhe,euphonik
4439,COVID19,DeanFUEL
4440,China,euphonik
4441,African,947
4442,WTO,smaakmusic
4443,Nigeria,DjGanyani
4444,Benin,iamCEEKAYSA
4445,Egypt,euphonik
4446,USA,MzwakheMasanga1
4447,Africa,euphonik
4448,kamerhe,DjGanyani
4449,African,947
4450,COVIDー19,DjGanyani
4451,Africa,TwinnyTee_Brm
4452,African,euphonik
4453,WTO,DJKENTSA
4454,Nigeria,ngweiza26
4455,USA,euphonik
4456,kamerhe,VetkukvsMahoota
4457,COVID19,BernethKoopman
4458,COVIDー19,euphonik
4459,Africa,947
4460,Colonisation,DjGanyani
4461,China,TwinnyTee_Brm
4462,African,947
4463,banking,dlalathukzin_
4464,African,Djbeekay4
4465,Banking,euphonik
4466,African,dlalathukzin_
4467,France,947
4468,Rwanda,beekay__sa
4469,Paris,dlalathukzin_
4470,taubira,KabzaDeSmall_
4471,France,niapearlza
4472,Cameroon,beekay__sa
4473,Ambazonia,947
4474,pandemic,DeanFUEL
4475,Paris,947
4476,RWANDA,DjGanyani
4477,Tanzania,ProVerbMusic
4478,Mozambique,kayafm95dot9
4479,Ambazonia,euphonik
4480,peace,beekay__sa
4481,Cameroon,947
4482,African,Ally_Brittain
4483,France,ProVerbMusic
4484,Rwanda,euphonik
4485,Paris,RealBlackCoffee
4486,RWANDA,947
4487,Tanzania,mixcloud
4488,Mozambique,dlalathukzin_
4489,Cameroonian,947
4490,Ambazonian,DjGanyani
4491,taubira,947
4492,France,Samantha_Tiego
4493,Podcast,euphonik
4494,GERD,DJFreshSA
4495,Egypt,euphonik
4496,Sudan,markstentdj
4497,Sudan,947
4498,Egypt,euphonik
4499,Ethiopia,markstentdj
4500,Afrique,freshon947
4501,construction,SaturdayStar
4502,HachaluHundessa,euphonik
4503,Podcast,KashinSa
4504,GERD,freshon947
4505,Egypt,DJFreshSA
4506,Sudan,Mrmotingoe
4507,Podcast,euphonik
4508,GERD,DJFreshSA
4509,Sudan,947
4510,Ethiopia,DJFreshSA
4511,Podcast,euphonik
4512,GERD,tbassdj
4513,Sudan,DJFreshSA
4514,Podcast,euphonik
4515,GERD,YoCaOnline
4516,Egypt,afroshona
4517,Ethiopian,947
4518,Haiti,Harvard_KB
4519,France,DJFreshSA
4520,Podcast,euphonik
4521,GERD,tkmashiloane
4522,Egypt,DJFreshSA
4523,Sudan,947
4524,SouthAfrica,euphonik
4525,Coronavirus,DJFreshSA
4526,SouthAfrican,DJFreshSA
4527,Italy,947
4528,COVID19,JackZonke
4529,SouthAfrica,euphonik
4530,Coronavirus,DJFreshSA
4531,Asia,Dalindy94754110
4532,SouthAfrican,euphonik
4533,African,LamiezHolworthy
4534,COVIDー19,TwinnyTee_Brm
4535,Africa,947
4536,film,LamiezHolworthy
4537,Italy,LamiezHolworthy
4538,COVID19,Man_Katli
4539,SouthAfrica,BekzinTerris
4540,Coronavirus,euphonik
4541,COVIDー19,aidengeswind
4542,Africa,euphonik
4543,IMF,BekzinTerris
4544,Zambia,947
4545,Tedros,Kaygeezly
4546,WHO,BekzinTerris
4547,HachaluHundessa,HOUSEHOLDFUNK
4548,Haiti,BekzinTerris
4549,France,beat_soul_88
4550,independence,euphonik
4551,Africa,947
4552,COVIDー19,BekzinTerris
4553,Africa,947
4554,Burundi,beat_soul_88
4555,COVID19,LamiezHolworthy
4556,Ethiopia,DJFreshSA
4557,AddisAbaba,BekzinTerris
4558,Oromo,TwinnyTee_Brm
4559,French,LamiezHolworthy
4560,France,DJFreshSA
4561,tribal,BekzinTerris
4562,economy,KabzaDeSmall_
4563,Ethiopia,Ledee_s
4564,HachaluHundessa,euphonik
4565,Burundi,RealBlackCoffee
4566,France,MINISouthAfrica
4567,haitian,ManaseMasumpa
4568,Nigeria,euphonik
4569,independence,LesediFM
4570,Africa,djstixa
4571,COVIDー19,theivysa
4572,Africa,DJFreshSA
4573,Burundi,LamiezHolworthy
4574,COVID19,RealBlackCoffee
4575,Egypt,djkabila
4576,Libya,freshon947
4577,Nasser,947
4578,GADDAFI,euphonik
4579,Sadat,YawA
4580,African,freshon947
4581,Belgium,DJFreshSA
4582,leopoldii,FistazMixwell
4583,Africa,freshon947
4584,African,mxovat
4585,Egypt,euphonik
4586,Libya,sunelmusicianza
4587,COVIDー19,Eezy5Star
4588,Africa,euphonik
4589,Belgium,sunelmusicianza
4590,DRC,Msaki_ZA
4591,Congo,947
4592,Africans,sunelmusicianza
4593,Cairo,Jazzuelle
4594,Libya,euphonik
4595,Egypt,947
4596,Sahel,DjSoulTSA
4597,jihadist,Jazzuelle
4598,SouthAfrican,TwinnyTee_Brm
4599,lockdown,PunkMbedzi
4600,Egypt,euphonik
4601,Libya,947
4602,Nasser,zikhona_g
4603,GADDAFI,Cuebur
4604,Sadat,Jazzuelle
4605,COVIDー19,Cuebur
4606,Africa,AppleGule
4607,African,DJZinhle
4608,independence,PunkMbedzi
4609,Congolese,947
4610,coup,DJZinhle
4611,Benin,Locnville
4612,Ghana,AppleGule
4613,COVIDー19,947
4614,Africa,947
4615,agriculture,sunelmusicianza
4616,Oromo,Jazzuelle
4617,HachaluHundessa,DjSoulTSA
4618,Ethiopia,947
4619,DRC,Jazzuelle
4620,independence,MINISouthAfrica
4621,democracy,sunelmusicianza
4622,coup,ASUS_za
4623,Benin,SHOWtibzLOVE
4624,African,BaneleGaza
4625,Congolese,TheodoraKhumalo
4626,IndependenceDay,euphonik
4627,Beligum,BalwinProp
4628,currency,947
4629,CFA,freshon947
4630,COVIDー19,edenproject
4631,Africa,EsinamTawiah
4632,Crisis,RodingVHouses
4633,Africa,RodingValleyHS
4634,COVID19,EsinamTawiah
4635,Oromo,FightPoverty
4636,HachaluHundessa,BusiswaGibson
4637,coup,WHOAFRO
4638,Benin,MichelleObama
4639,Eco,Malala
4640,French,UNGEI
4641,CFA,pearson
4642,energy,Camfed
4643,solar,REAL_Centre
4644,agriculture,Camfed
4645,Africa,fiankor_carlene
4646,Oromo,UNGEI
4647,HachaluHundessa,CommonsIDC
4648,COVIDー19,llysa200
4649,Africa,DFID_UK
4650,COVID19,TesResources
4651,Oromo,Camfed
4652,HachaluHundessa,fiankor_carlene
4653,Oromo,Climatebriefing
4654,Nigeria,Momentum_UNFCCC
4655,Coronavirus,Camfed
4656,Nigeria,Momentum_UNFCCC
4657,COVID,Momentum_UNFCCC
4658,Gabon,CommonsIDC
4659,African,DFID_UK
4660,Morocco,GPforEducation
4661,Egypt,UNGEI
4662,Turkey,GEMReport
4663,USA,DorisOfori9
4664,homosexuality,Camfed
4665,Gabon,EsinamTawiah
4666,CoronavirusPandemic,queenscomtrust
4667,COVIDー19,FionaMavhinga
4668,Africa,PQuarmyne
4669,Gabon,rosalinda_agana
4670,Nigeria,queenscomtrust
4671,Coronavirus,MerlivnaMonroe
4672,Nigeria,JulieEMcKay
4673,COVID,JuliaGillard
4674,Irish,JulieEMcKay
4675,Morocco,Camfed
4676,investment,JuliaGillard
4677,Tunisia,JuliaGillard
4678,Egypt,JuliaGillard
4679,Turkey,Camfed
4680,USA,angela_menyah
4681,COVIDー19,UNYouthEnvoy
4682,Africa,UN_Women
4683,Ghana,KISStalk
4684,AfricanAmerican,Camfed
4685,African,vuyinco
4686,Nigeria,queenscomtrust
4687,tourism,AngieMurimirwa
4688,slave,MastercardFdn
4689,Cameroon,UNFCCC
4690,Africa,SkollFoundation
4691,COVID19,Camfed
4692,COVID19,Impact_Ed_Intl
4693,COVID19,Impact_Ed_Intl
4694,Egypt,Camfed
4695,Sudan,queenscomtrust
4696,Covid19SA,queenscomtrust
4697,southafrica,Camfed
4698,tourism,EsinamTawiah
4699,kamerhe,Camfed
4700,Covid19SA,FionaMavhinga
4701,SouthAfrica,Camfed
4702,Benin,ELMAPhilanthro
4703,Albania,Camfed
4704,solar,b4uscali
4705,Africa,AngieMurimirwa
4706,African,icklenoni
4707,COVID19,Royal_DonnaRose
4708,SouthAfrica,AimeeNK18
4709,Corruption,Royal_DonnaRose
4710,Africa,BellaNajia
4711,solar,freepeeper
4712,Buhari,SimchaModupe
4713,Nigeria,qeytauno
4714,SouthAfrica,PatouArt
4715,Corruption,balouor
4716,May,nehpazojArchieH
4717,Africa,AngieMurimirwa
4718,Nigeria,AngieMurimirwa
4719,COVIDー19,DawnNeedham4
4720,Africa,freepeeper
4721,africa,brenbrenchie
4722,COVID19,FaRah07595123
4723,PreExistingConditions,FaRah07595123
4724,BLACKPINK,PatouArt
4725,Africa,AllSussextweets
4726,solar,cuteahmah
4727,SouthAfrica,freepeeper
4728,COVIDー19,Bkmalegamwala
4729,Africa,AdoreU3121
4730,SouthAfrica,MagaliDMathias
4731,budget,S7Lily
4732,music,freepeeper
4733,film,MagaliDMathias
4734,TV,EsiJollof
4735,gaming,freepeeper
4736,Nigerian,2040Film
4737,Cameroon,Together_Films
4738,Africa,2040Film
4739,COVID19,2040Film
4740,vaccine,damongameau
4741,SouthAfrica,WOWisGlobal
4742,Africa,JennyPerlman
4743,SouthAfrica,WOWisGlobal
4744,Coronavirus,BrookingsGlobal
4745,FunFact,2040Film
4746,SpanishFlu,WISE_Tweets
4747,COVIDー19,BrookingsGlobal
4748,africa,RSabates72
4749,music,CamEdFac
4750,film,REAL_Centre
4751,TV,CaNDER_Research
4752,gaming,Hughes_Hall
4753,Cameroon,SussexCIE
4754,COVID19,baicenews
4755,Africa,LateriteAfrica
4756,COVID19,asercentre
4757,vaccine,WISE_Tweets
4758,music,WISE_Tweets
4759,film,Camfed
4760,TV,UNGEI
4761,gaming,WISE_Tweets
4762,SouthAfrica,REAL_Centre
4763,Coronavirus,GEMReport
4764,Insurance,BBCAfrica
4765,Nigeria,UNGEI
4766,Cameroon,WOWisGlobal
4767,Africa,UNGEI
4768,COVID19,FionaMavhinga
4769,vaccine,AJack
4770,SouthAfrica,RebeccaWinthrop
4771,Coronavirus,Mona_Mourshed
4772,COVIDー19,WISE_Tweets
4773,africa,WISE_Tweets
4774,Egypt,2040Film
4775,Coronavirus,EricToensmeier
4776,Egyptian,Camfed
4777,COTTON,WISE_Tweets
4778,COVID19,educommission
4779,Egypt,OfficeGSBrown
4780,Coronavirus,SalzburgGlobal
4781,Egyptian,FNkala
4782,COTTON,UKinZimbabwe
4783,COVID19,esnathmd
4784,Sudan,UNGEI
4785,SouthAfrica,NeilManthorp
4786,Coronavirus,seanrose
4787,Retail,seanrose
4788,DR,seanrose
4789,Congo,seanrose
4790,Kamerhe,SME_SnapShot
4791,Egypt,KnifeCap
4792,Coronavirus,GrindstoneXL
4793,COVID19,KeetvZ
4794,Egyptian,BobSkinstad
4795,COTTON,willjngreen
4796,EU,AndreaBoehmert
4797,Sudan,CatherineHYoung
4798,Germany,ThinkroomSME
4799,crowdsourced,DeloitteSA
4800,data,kristoph_errr
4801,crowdsourcing,HLFHM
4802,bigdata,waterfordestate
4803,SouthAfrica,kevinarnold777
4804,Coronavirus,KnifeCap
4805,Retail,GrindstoneXL
4806,Government,KeetvZ
4807,Zimbabwe,KnifeCap
4808,Congo,GrindstoneXL
4809,Kamerhe,ChiOnwurah
4810,COVIDー19,Tomatin1897
4811,Africa,tinusleroux
4812,Racism,flintoff11
4813,Europe,BobSkinstad
4814,London,DylanHartley
4815,Paris,MacKinnonCarly
4816,slavery,KanaloaRugby
4817,Mozambique,grahamjsimmons
4818,Egypt,AspiringDrD
4819,Ethiopia,HermanMashaba
4820,GERD,ThatsSoVillage
4821,Nigeria,NewingtonCC
4822,Nigeria,MichaelC_RTE
4823,Europe,daRealAkinfenwa
4824,colonial,J_George2
4825,Britain,TheLightyears
4826,Belgium,Skinstad
4827,Denmark,bradbarritt
4828,France,J_George2
4829,Germany,TheMartinBell
4830,Holland,TheLightyears
4831,Italy,leonjacobs
4832,Portugal,leonjacobs
4833,Nigeria,RugbyPass
4834,oil,usmlr
4835,Ethiopia,espn
4836,GERD,Schalk79
4837,Nigeria,mikesharman
4838,Oil,MagnusHeystek
4839,COVIDー19,HermanMashaba
4840,Africa,postsecret
4841,Covid19,RynoJCombrinck
4842,Zimbabwe,anton_duplessis
4843,SouthAfrica,BobSkinstad
4844,CoronaVirus,HermanMashaba
4845,Africa,RynoJCombrinck
4846,smartphones,EnglandRugby
4847,America,rhillrugby
4848,Joburg,GeorgeKruis
4849,Turkey,nick8williams
4850,Libya,jaltucher
4851,GNA,senderman
4852,SouthAfrica,NEFreeJacks
4853,CoronaVirus,usmlr
4854,Africa,RachelKirbyR
4855,smartphones,WeybridgeCC
4856,Johannesburg,padlockandpear
4857,Egypt,CatherineHYoung
4858,COVIDー19,tomdrewett2
4859,africa,MRrugbyworldcup
4860,Algeria,rugbyworldcup
4861,Nigeria,tracyjaneBaker
4862,EthiopiaNileRights,CharlizeAfrica
4863,Burundi,tomhanks
4864,UK,ZuandaReid
4865,Africa,KartAfri
4866,Ethiopia,EdgeboroughHM
4867,Egypt,Cricketers_Club
4868,GERD,ThinkroomSME
4869,Kamerhe,francgroup
4870,Ethiopia,OldSchool_Grp
4871,Egypt,Rebaone59275709
4872,GERD,Allbirds
4873,Ghana,jimhamilton4
4874,Kenya,MNDoddie5
4875,African,CatherineHYoung
4876,Asia,KnifeCap
4877,Ethiopia,KNF_VC
4878,Egypt,thehench
4879,GERD,KeetvZ
4880,SouthAfrica,KnifeCap
4881,Coronavirus,HistoryInPics
4882,FunFact,roelofbotha
4883,Currencies,roelofbotha
4884,Kenya,mmhmmapp
4885,Nigerian,MichaelJordaan
4886,Benin,CapeTownEtc
4887,JNIM,Squidsquirt
4888,IslamicState,RealBillRussell
4889,Ethiopia,Yoco_ZA
4890,Egypt,Calder104
4891,GERD,Gary_Kirsten
4892,US,CoachedCricket
4893,China,WatchBuffalo
4894,US,WatchBuffalo
4895,SouthAfrica,jackwhitehall
4896,Coronavirus,karj
4897,Africa,marshal
4898,rand,42Courses
4899,TalkingAfrica,ChrisRawlinson
4900,podcast,marshal
4901,Zimbabwe,ChrisRawlinson
4902,COVIDー19,Trevornoah
4903,Africa,Nigelrefowens
4904,Algeria,davidu
4905,Paris,padlockandpear
4906,Ethiopia,eNCA
4907,Egypt,padlockandpear
4908,GERD,EWNsport
4909,gender,Ebenvanderwalt
4910,Africa,philllewellyn
4911,women,WatchBuffalo
4912,diseases,shanebyrneoffic
4913,Africa,ScottQuinnell
4914,COVID19,primevideosport
4915,African,vardy7
4916,Tshisekedi,tinusleroux
4917,Kabund,grahamjsimmons
4918,Uganda,grahamjsimmons
4919,Kampala,Marilyn_Res
4920,France,AndyBurnhamGM
4921,COVID,derekalberts1
4922,gender,cricketkit
4923,Africa,Rolandschoeman
4924,COVID19,TaylorMadeGolf
4925,diseases,WatchBuffalo
4926,Africa,WatchBuffalo
4927,COVID19,MorettiBeer
4928,African,mamaslilwarrior
4929,Tshisekedi,TylerFayose
4930,Kabund,Edgeborough
4931,Uganda,kenbyler
